nom_ent,ambito,rubro,mean,se,cv,confianza
Nayarit,Rural,Alimentos,4711.340295497941,241.27474817360988,0.051211488247657894,Alta
Nayarit,Rural,Gasto corriente,10711.290651192447,666.8129175084781,0.06225327453272351,Alta
Nayarit,Rural,NANV,5302.696403940887,422.77430894031903,0.07972817539131966,Alta
Nayarit,Rural,Vivienda,697.2539517536192,100.03290159866128,0.1434669553999298,Alta
Nayarit,Urbano,Alimentos,6580.760299137961,155.1779957543973,0.02358055736731889,Alta
Nayarit,Urbano,Gasto corriente,16306.303559741731,456.9884603225255,0.028025263889406186,Alta
Nayarit,Urbano,NANV,8395.224685842177,318.0811747284519,0.037888345652602774,Alta
Nayarit,Urbano,Vivienda,1330.318574761594,58.285810393236645,0.04381342296425653,Alta
Nuevo León,Rural,Alimentos,4584.026129558103,158.95260389829608,0.03467532675552593,Alta
Nuevo León,Rural,Gasto corriente,11085.78762417975,412.6227701434595,0.03722087993490584,Alta
Nuevo León,Rural,NANV,5652.6968817489,254.19509464263254,0.04496881753262995,Alta
Nuevo León,Rural,Vivienda,849.0646128727469,42.744094021984964,0.0503425691919529,Alta
Nuevo León,Urbano,Alimentos,6932.95974422057,145.43367792955843,0.02097714155210469,Alta
Nuevo León,Urbano,Gasto corriente,20039.98877907821,480.7438832524378,0.023989229163358387,Alta
Nuevo León,Urbano,NANV,10928.389173659401,338.7330622945241,0.030995699083536422,Alta
Nuevo León,Urbano,Vivienda,2178.6398611982377,79.8292718485056,0.03664179347411739,Alta
Oaxaca,Rural,Alimentos,3742.9425178983583,126.79921498300499,0.0338768801221671,Alta
Oaxaca,Rural,Gasto corriente,8320.566579603606,353.68887307535704,0.04250778714304896,Alta
Oaxaca,Rural,NANV,4138.280706219409,224.1094590086104,0.05415520959508547,Alta
Oaxaca,Rural,Vivienda,439.3433554858391,26.687458966214987,0.06074396854529231,Alta
Oaxaca,Urbano,Alimentos,5413.580680548185,176.87178379092856,0.03267186622459616,Alta
Oaxaca,Urbano,Gasto corriente,14282.92202382623,460.79694035782336,0.03226209171968728,Alta
Oaxaca,Urbano,NANV,7981.169867319611,339.16405490342635,0.0424955314248099,Alta
Oaxaca,Urbano,Vivienda,888.1714759584339,47.27099923799649,0.053222829732272055,Alta
Puebla,Rural,Alimentos,3952.809648806816,163.458183008967,0.041352404373508865,Alta
Puebla,Rural,Gasto corriente,9154.016822315387,500.14998180103834,0.05463721462492703,Alta
Puebla,Rural,NANV,4692.006942091409,333.7558373428336,0.07113285241518968,Alta
Puebla,Rural,Vivienda,509.2002314171629,40.54090989040248,0.07961683320051222,Alta
Puebla,Urbano,Alimentos,5611.659822103334,132.14624562107645,0.02354851324033859,Alta
Puebla,Urbano,Gasto corriente,15575.484978828335,383.00194932362257,0.02459004967384546,Alta
Puebla,Urbano,NANV,8772.786841443223,276.0626372602641,0.031468066219975395,Alta
Puebla,Urbano,Vivienda,1191.0383152817788,45.0087224131854,0.0377894832061193,Alta
Querétaro,Rural,Alimentos,5104.096225923496,128.79394006130784,0.025233446698588614,Alta
Querétaro,Rural,Gasto corriente,12374.880196703656,362.56990311321283,0.029298861673811755,Alta
Querétaro,Rural,NANV,6526.183710938511,260.25096759774544,0.0398779714339852,Alta
Querétaro,Rural,Vivienda,744.6002598416494,28.651378813919916,0.03847887297274523,Alta
Querétaro,Urbano,Alimentos,7617.129209292751,218.17981225337093,0.028643312494580735,Alta
Querétaro,Urbano,Gasto corriente,22400.13840814118,711.8337813019994,0.03177809745333038,Alta
Querétaro,Urbano,NANV,12512.21325864405,521.5955393862133,0.04168691250733515,Alta
Querétaro,Urbano,Vivienda,2270.795940204381,110.85860318415328,0.04881927134948794,Alta
Quintana Roo,Rural,Alimentos,4808.323160159437,256.57447275767424,0.05336048851366442,Alta
Quintana Roo,Rural,Gasto corriente,10371.725501587916,679.1936355259601,0.06548511483667546,Alta
Quintana Roo,Rural,NANV,4902.093149945113,366.24540130740405,0.07471204444809557,Alta
Quintana Roo,Rural,Vivienda,661.3091914833665,130.64989118354086,0.1975624909892501,Media
Quintana Roo,Urbano,Alimentos,6887.796003988376,132.59771542360633,0.01925110954895088,Alta
Quintana Roo,Urbano,Gasto corriente,18683.293083126315,394.9042431476243,0.021136757925415157,Alta
Quintana Roo,Urbano,NANV,9531.750192508924,271.781328820892,0.028513266014303127,Alta
Quintana Roo,Urbano,Vivienda,2263.746886629016,82.45626680561784,0.036424684796984914,Alta
San Luis Potosí,Rural,Alimentos,3722.227615961849,98.31579860177449,0.02641316134998612,Alta
San Luis Potosí,Rural,Gasto corriente,8809.139813243683,296.5292763380343,0.033661547282088936,Alta
San Luis Potosí,Rural,NANV,4554.500516668408,212.28364115998792,0.04660964256850546,Alta
