date,ambito,componente,valor
2019-11-01,Urbano,Alimentos,2067.51481267161
2019-11-01,Urbano,Vivienda,5416.54806500275
2019-11-01,Urbano,NANV,3867.63577518378
2019-12-01,Urbano,Alimentos,2083.64325113511
2019-12-01,Urbano,Vivienda,5434.82743850869
2019-12-01,Urbano,NANV,3889.22339916389
2020-01-01,Urbano,Alimentos,2105.52516989494
2020-01-01,Urbano,Vivienda,5437.44611280308
2020-01-01,Urbano,NANV,3908.05749967714
2020-02-01,Urbano,Alimentos,2133.32469628079
2020-02-01,Urbano,Vivienda,5443.50500626853
2020-02-01,Urbano,NANV,3924.28493130844
2020-03-01,Urbano,Alimentos,2159.10833287027
2020-03-01,Urbano,Vivienda,5455.7768328638
2020-03-01,Urbano,NANV,3922.41253535099
2020-04-01,Urbano,Alimentos,2159.72786798541
2020-04-01,Urbano,Vivienda,5402.78718831851
2020-04-01,Urbano,NANV,3882.65165648967
2020-05-01,Urbano,Alimentos,2173.38408792731
2020-05-01,Urbano,Vivienda,5317.24382803512
2020-05-01,Urbano,NANV,3897.59411050311
2020-06-01,Urbano,Alimentos,2167.66439146117
2020-06-01,Urbano,Vivienda,5336.90955852044
2020-06-01,Urbano,NANV,3918.92473895964
2020-07-01,Urbano,Alimentos,2178.55652128267
2020-07-01,Urbano,Vivienda,5353.90526815657
2020-07-01,Urbano,NANV,3944.66100496314
2020-08-01,Urbano,Alimentos,2192.29256264215
2020-08-01,Urbano,Vivienda,5373.57099864189
2020-08-01,Urbano,NANV,3960.19087731617
2020-09-01,Urbano,Alimentos,2203.55962558923
2020-09-01,Urbano,Vivienda,5377.986802354
2020-09-01,Urbano,NANV,3969.25914793366
2020-10-01,Urbano,Alimentos,2209.47833693513
2020-10-01,Urbano,Vivienda,5464.96786617156
2020-10-01,Urbano,NANV,3993.49015444194
2020-11-01,Urbano,Alimentos,2206.36575513422
2020-11-01,Urbano,Vivienda,5574.79814687154
2020-11-01,Urbano,NANV,3996.50067343236
2020-12-01,Urbano,Alimentos,2210.25350738751
2020-12-01,Urbano,Vivienda,5594.46387735686
2020-12-01,Urbano,NANV,4011.7368366156
2021-01-01,Urbano,Alimentos,2235.75343652979
2021-01-01,Urbano,Vivienda,5653.92318780594
2021-01-01,Urbano,NANV,4046.21095042056
2021-02-01,Urbano,Alimentos,2255.99844654916
2021-02-01,Urbano,Vivienda,5687.24710186591
2021-02-01,Urbano,NANV,4071.80036183916
2021-03-01,Urbano,Alimentos,2277.64449410914
2021-03-01,Urbano,Vivienda,5733.2536149595
2021-03-01,Urbano,NANV,4105.46677542718
2021-04-01,Urbano,Alimentos,2304.48601343869
2021-04-01,Urbano,Vivienda,5674.20507694876
2021-04-01,Urbano,NANV,4118.9039699454
2021-05-01,Urbano,Alimentos,2327.60230589651
2021-05-01,Urbano,Vivienda,5576.03046418655
2021-05-01,Urbano,NANV,4127.31139493085
2021-06-01,Urbano,Alimentos,2326.84712611882
2021-06-01,Urbano,Vivienda,5606.63301084255
2021-06-01,Urbano,NANV,4149.30286901943
2021-07-01,Urbano,Alimentos,2347.62657412652
2021-07-01,Urbano,Vivienda,5655.56627755928
2021-07-01,Urbano,NANV,4173.68073011261
2021-08-01,Urbano,Alimentos,2371.64270186442
2021-08-01,Urbano,Vivienda,5570.84446215256
2021-08-01,Urbano,NANV,4181.64759134336
2021-09-01,Urbano,Alimentos,2378.90583247458
2021-09-01,Urbano,Vivienda,5611.35689388341
2021-09-01,Urbano,NANV,4207.42057099308
2021-10-01,Urbano,Alimentos,2386.96592759132
2021-10-01,Urbano,Vivienda,5744.0877380206
2021-10-01,Urbano,NANV,4242.66567136876
2021-11-01,Urbano,Alimentos,2437.17040285011
2021-11-01,Urbano,Vivienda,5857.51227755602
2021-11-01,Urbano,NANV,4291.23782532399
2021-12-01,Urbano,Alimentos,2459.03437847308
2021-12-01,Urbano,Vivienda,5792.04542019628
2021-12-01,Urbano,NANV,4306.80441132325
2022-01-01,Urbano,Alimentos,2511.952889487
2022-01-01,Urbano,Vivienda,5805.2928313326
2022-01-01,Urbano,NANV,4332.28368180317
2022-02-01,Urbano,Alimentos,2552.2759983912
2022-02-01,Urbano,Vivienda,5853.35320661787
2022-02-01,Urbano,NANV,4368.22634145712
2022-03-01,Urbano,Alimentos,2577.02448771731
2022-03-01,Urbano,Vivienda,5919.28218297073
2022-03-01,Urbano,NANV,4411.47501670978
2022-04-01,Urbano,Alimentos,2593.06619131232
2022-04-01,Urbano,Vivienda,5863.00635891875
2022-04-01,Urbano,NANV,4435.33888675581
2022-05-01,Urbano,Alimentos,2609.62534404409
2022-05-01,Urbano,Vivienda,5767.14234112218
2022-05-01,Urbano,NANV,4443.15889340167
2022-06-01,Urbano,Alimentos,2645.38151592411
2022-06-01,Urbano,Vivienda,5780.95456436122
2022-06-01,Urbano,NANV,4480.68023984327
2022-07-01,Urbano,Alimentos,2671.96874290188
2022-07-01,Urbano,Vivienda,5803.85512779843
2022-07-01,Urbano,NANV,4513.86937603037
2022-08-01,Urbano,Alimentos,2683.69940049042
2022-08-01,Urbano,Vivienda,5804.93340544906
2022-08-01,Urbano,NANV,4545.25954355246
2022-09-01,Urbano,Alimentos,2711.61378711092
2022-09-01,Urbano,Vivienda,5792.5588857442
2022-09-01,Urbano,NANV,4573.45562385301
2022-10-01,Urbano,Alimentos,2720.55706223468
2022-10-01,Urbano,Vivienda,5823.26412550979
2022-10-01,Urbano,NANV,4599.3387444414
2022-11-01,Urbano,Alimentos,2725.04134039554
2022-11-01,Urbano,Vivienda,5919.33352952552
2022-11-01,Urbano,NANV,4625.80928336938
2022-12-01,Urbano,Alimentos,2741.66176375667
2022-12-01,Urbano,Vivienda,5899.46241282104
2022-12-01,Urbano,NANV,4643.46854720345
2023-01-01,Urbano,Alimentos,2781.59299445722
2023-01-01,Urbano,Vivienda,5920.36046062136
2023-01-01,Urbano,NANV,4674.96885566421
2023-02-01,Urbano,Alimentos,2807.58082918249
2023-02-01,Urbano,Vivienda,5955.99496964697
2023-02-01,Urbano,NANV,4701.03554448373
2023-03-01,Urbano,Alimentos,2807.72424698669
2023-03-01,Urbano,Vivienda,5943.41506372295
2023-03-01,Urbano,NANV,4713.62832513879
2023-04-01,Urbano,Alimentos,2822.82686174388
2023-04-01,Urbano,Vivienda,5850.11837366597
2023-04-01,Urbano,NANV,4712.67377033695
2023-05-01,Urbano,Alimentos,2815.64824941283
2023-05-01,Urbano,Vivienda,5735.7695961443
2023-05-01,Urbano,NANV,4702.43066304026
2023-06-01,Urbano,Alimentos,2826.21708474411
2023-06-01,Urbano,Vivienda,5709.68554630999
2023-06-01,Urbano,NANV,4707.20343704947
2023-07-01,Urbano,Alimentos,2866.74551271933
2023-07-01,Urbano,Vivienda,5705.78320814581
2023-07-01,Urbano,NANV,4729.89247041631
2023-08-01,Urbano,Alimentos,2873.54269694026
2023-08-01,Urbano,Vivienda,5747.78468996562
2023-08-01,Urbano,NANV,4756.0693001745
2023-09-01,Urbano,Alimentos,2876.01207800253
2023-09-01,Urbano,Vivienda,5773.4579673616
2023-09-01,Urbano,NANV,4777.17964675369
2023-10-01,Urbano,Alimentos,2859.63743476226
2023-10-01,Urbano,Vivienda,5884.26383260262
2023-10-01,Urbano,NANV,4795.13261975755
2023-11-01,Urbano,Alimentos,2870.71207918579
2023-11-01,Urbano,Vivienda,6002.51494828848
2023-11-01,Urbano,NANV,4825.82522800137
2023-12-01,Urbano,Alimentos,2904.03735718083
2023-12-01,Urbano,Vivienda,6017.7135285069
2023-12-01,Urbano,NANV,4859.89549169786
2024-01-01,Urbano,Alimentos,2954.0968938096
2024-01-01,Urbano,Vivienda,6055.76132560773
2024-01-01,Urbano,NANV,4903.29102153542
2024-02-01,Urbano,Alimentos,2935.90419767645
2024-02-01,Urbano,Vivienda,6125.13052113166
2024-02-01,Urbano,NANV,4907.91694095973
2024-03-01,Urbano,Alimentos,2950.08854671407
2024-03-01,Urbano,Vivienda,6133.24327678878
2024-03-01,Urbano,NANV,4922.01498111
2024-04-01,Urbano,Alimentos,2975.96776401562
2024-04-01,Urbano,Vivienda,6058.48269301171
2024-04-01,Urbano,NANV,4931.96437923688
2024-05-01,Urbano,Alimentos,2974.77312817602
2024-05-01,Urbano,Vivienda,5940.5396566546
2024-05-01,Urbano,NANV,4922.82268132694
2024-06-01,Urbano,Alimentos,3025.62374627411
2024-06-01,Urbano,Vivienda,5955.1734247703
2024-06-01,Urbano,NANV,4941.43649996285
2024-07-01,Urbano,Alimentos,3078.4504240014
2024-07-01,Urbano,Vivienda,6012.6302195825
2024-07-01,Urbano,NANV,4993.1660274934
2024-08-01,Urbano,Alimentos,3028.41785540182
2024-08-01,Urbano,Vivienda,6027.77745324612
2024-08-01,Urbano,NANV,4993.53316395565
2024-09-01,Urbano,Alimentos,3013.55161348006
2024-09-01,Urbano,Vivienda,6041.89775581391
2024-09-01,Urbano,NANV,4995.9929782527
2024-10-01,Urbano,Alimentos,3035.55428997283
2024-10-01,Urbano,Vivienda,6095.40086590712
2024-10-01,Urbano,NANV,5023.45478562875
2024-11-01,Urbano,Alimentos,3032.40826976988
2024-11-01,Urbano,Vivienda,6190.70007160098
2024-11-01,Urbano,NANV,5045.33611877866
2024-12-01,Urbano,Alimentos,3029.11768566814
2024-12-01,Urbano,Vivienda,6209.54425720962
2024-12-01,Urbano,NANV,5064.61078304661
2025-01-01,Urbano,Alimentos,3045.76692601397
2025-01-01,Urbano,Vivienda,6238.86313999582
2025-01-01,Urbano,NANV,5079.07595965912
2025-02-01,Urbano,Alimentos,3059.59448841847
2025-02-01,Urbano,Vivienda,6262.79063452887
2025-02-01,Urbano,NANV,5093.13728616317
2025-03-01,Urbano,Alimentos,3086.94599937196
2025-03-01,Urbano,Vivienda,6279.27287861709
2025-03-01,Urbano,NANV,5109.1077222709
2025-04-01,Urbano,Alimentos,3121.21656268894
2025-04-01,Urbano,Vivienda,6243.07355748876
2025-04-01,Urbano,NANV,5125.95928588802
2025-05-01,Urbano,Alimentos,3183.85400990028
2025-05-01,Urbano,Vivienda,6187.87601108742
2025-05-01,Urbano,NANV,5140.35103520809
2025-06-01,Urbano,Alimentos,3189.60180095653
2025-06-01,Urbano,Vivienda,6199.17225314165
2025-06-01,Urbano,NANV,5154.77949817439
2025-07-01,Urbano,Alimentos,3194.51046679491
2025-07-01,Urbano,Vivienda,6214.01140747652
2025-07-01,Urbano,NANV,5168.54711550864
2025-08-01,Urbano,Alimentos,3184.34903431862
2025-08-01,Urbano,Vivienda,6227.97767037993
2025-08-01,Urbano,NANV,5171.74120273018
2025-09-01,Urbano,Alimentos,3187.48855280341
2025-09-01,Urbano,Vivienda,6236.24446570144
2025-09-01,Urbano,NANV,5183.85670598433
2025-10-01,Urbano,Alimentos,3177.5539640185
2025-10-01,Urbano,Vivienda,6304.22730424598
2025-10-01,Urbano,NANV,5202.61737920513
2025-11-01,Urbano,Alimentos,3197.89234506365
2025-11-01,Urbano,Vivienda,6391.00298184437
2025-11-01,Urbano,NANV,5237.01806571764
2025-12-01,Urbano,Alimentos,3200.80010498272
2025-12-01,Urbano,Vivienda,6401.47767902193
2025-12-01,Urbano,NANV,5251.59338326884
2026-01-01,Urbano,Alimentos,3227.35503471192
2026-01-01,Urbano,Vivienda,6420.62994395933
2026-01-01,Urbano,NANV,5271.6390341075
2026-02-01,Urbano,Alimentos,3260.16139435476
2026-02-01,Urbano,Vivienda,6434.8529396367
2026-02-01,Urbano,NANV,5298.03614574304
2026-03-01,Urbano,Alimentos,3329.14152785343
2026-03-01,Urbano,Vivienda,6469.2551313473
2026-03-01,Urbano,NANV,5343.45092612295
2026-04-01,Urbano,Alimentos,3306.44494713294
2026-04-01,Urbano,Vivienda,6428.17788751374
2026-04-01,Urbano,NANV,5353.98774258943
2026-05-01,Urbano,Alimentos,3278.06980699567
