nom_ent,cve_ent,ambito,date,componente,valor
Aguascalientes,1,Rural,2022-03-01,Vivienda,3389.15025327487
Aguascalientes,1,Rural,2022-03-01,NANV,3300.45189126802
Aguascalientes,1,Rural,2022-04-01,Alimentos,2518.76206311229
Aguascalientes,1,Rural,2022-04-01,Vivienda,3407.56060270358
Aguascalientes,1,Rural,2022-04-01,NANV,3328.95391636157
Aguascalientes,1,Rural,2022-05-01,Alimentos,2511.94874247617
Aguascalientes,1,Rural,2022-05-01,Vivienda,3410.48675095715
Aguascalientes,1,Rural,2022-05-01,NANV,3344.43037829643
Aguascalientes,1,Rural,2022-06-01,Alimentos,2551.46365068295
Aguascalientes,1,Rural,2022-06-01,Vivienda,3414.54068551678
Aguascalientes,1,Rural,2022-06-01,NANV,3363.76218662075
Aguascalientes,1,Rural,2022-07-01,Alimentos,2603.90021609555
Aguascalientes,1,Rural,2022-07-01,Vivienda,3422.03894041655
Aguascalientes,1,Rural,2022-07-01,NANV,3384.52598074688
Aguascalientes,1,Rural,2022-08-01,Alimentos,2610.98205169977
Aguascalientes,1,Rural,2022-08-01,Vivienda,3438.55948576483
Aguascalientes,1,Rural,2022-08-01,NANV,3403.8577890712
Aguascalientes,1,Rural,2022-09-01,Alimentos,2633.36565932861
Aguascalientes,1,Rural,2022-09-01,Vivienda,3425.45278004572
Aguascalientes,1,Rural,2022-09-01,NANV,3430.62490828949
Aguascalientes,1,Rural,2022-10-01,Alimentos,2638.95832606041
Aguascalientes,1,Rural,2022-10-01,Vivienda,3394.94158836006
Aguascalientes,1,Rural,2022-10-01,NANV,3452.93084097141
Aguascalientes,1,Rural,2022-11-01,Alimentos,2641.94570307597
Aguascalientes,1,Rural,2022-11-01,Vivienda,3385.55352937986
Aguascalientes,1,Rural,2022-11-01,NANV,3456.51080547591
Aguascalientes,1,Rural,2022-12-01,Alimentos,2658.43783567657
Aguascalientes,1,Rural,2022-12-01,Vivienda,3375.49489475821
Aguascalientes,1,Rural,2022-12-01,NANV,3486.83035101021
Aguascalientes,1,Rural,2023-01-01,Alimentos,2698.62150402237
Aguascalientes,1,Rural,2023-01-01,Vivienda,3378.57344656665
Aguascalientes,1,Rural,2023-01-01,NANV,3519.02249336226
Aguascalientes,1,Rural,2023-02-01,Alimentos,2713.14369242487
Aguascalientes,1,Rural,2023-02-01,Vivienda,3392.38120863819
Aguascalientes,1,Rural,2023-02-01,NANV,3527.53179360758
Aguascalientes,1,Rural,2023-03-01,Alimentos,2711.67977562547
Aguascalientes,1,Rural,2023-03-01,Vivienda,3380.03652069344
Aguascalientes,1,Rural,2023-03-01,NANV,3537.19769776974
Aguascalientes,1,Rural,2023-04-01,Alimentos,2714.58921970388
Aguascalientes,1,Rural,2023-04-01,Vivienda,3367.56990990479
Aguascalientes,1,Rural,2023-04-01,NANV,3545.59684526108
Aguascalientes,1,Rural,2023-05-01,Alimentos,2711.44442323164
Aguascalientes,1,Rural,2023-05-01,Vivienda,3364.24751240855
Aguascalientes,1,Rural,2023-05-01,NANV,3551.60017035324
Aguascalientes,1,Rural,2023-06-01,Alimentos,2724.16865336971
Aguascalientes,1,Rural,2023-06-01,Vivienda,3346.08100866764
Aguascalientes,1,Rural,2023-06-01,NANV,3554.98736753827
Aguascalientes,1,Rural,2023-07-01,Alimentos,2776.67136038381
Aguascalientes,1,Rural,2023-07-01,Vivienda,3342.02707410801
Aguascalientes,1,Rural,2023-07-01,NANV,3575.88885260688
Aguascalientes,1,Rural,2023-08-01,Alimentos,2774.3058650218
Aguascalientes,1,Rural,2023-08-01,Vivienda,3369.33779114133
Aguascalientes,1,Rural,2023-08-01,NANV,3599.81953841007
Aguascalientes,1,Rural,2023-09-01,Alimentos,2768.28565373972
Aguascalientes,1,Rural,2023-09-01,Vivienda,3379.2440222081
Aguascalientes,1,Rural,2023-09-01,NANV,3615.73661136086
Aguascalientes,1,Rural,2023-10-01,Alimentos,2740.73469858418
Aguascalientes,1,Rural,2023-10-01,Vivienda,3391.58871015284
Aguascalientes,1,Rural,2023-10-01,NANV,3622.09793290348
Aguascalientes,1,Rural,2023-11-01,Alimentos,2759.73646579874
Aguascalientes,1,Rural,2023-11-01,Vivienda,3392.35072792721
Aguascalientes,1,Rural,2023-11-01,NANV,3631.04784416474
Aguascalientes,1,Rural,2023-12-01,Alimentos,2811.38040878956
Aguascalientes,1,Rural,2023-12-01,Vivienda,3401.64734477449
Aguascalientes,1,Rural,2023-12-01,NANV,3659.32956375033
Aguascalientes,1,Rural,2024-01-01,Alimentos,2841.20815314577
Aguascalientes,1,Rural,2024-01-01,Vivienda,3412.2241514827
Aguascalientes,1,Rural,2024-01-01,NANV,3675.30171307812
Aguascalientes,1,Rural,2024-02-01,Alimentos,2807.30626786073
Aguascalientes,1,Rural,2024-02-01,Vivienda,3453.12926561073
Aguascalientes,1,Rural,2024-02-01,NANV,3678.05553192774
Aguascalientes,1,Rural,2024-03-01,Alimentos,2838.84759432588
Aguascalientes,1,Rural,2024-03-01,Vivienda,3473.73422622961
Aguascalientes,1,Rural,2024-03-01,NANV,3694.1929103865
Aguascalientes,1,Rural,2024-04-01,Alimentos,2869.01131527664
Aguascalientes,1,Rural,2024-04-01,Vivienda,3478.51969785264
