date,ambito,canasta_alimentos,vivienda_mensual,NANV,alimentos_familiar,nanv_familiar,ingreso_digno_familiar,salario_digno
2023-03-01,Rural,2620.65131266346,3991.62747148903,4064.82347850276,10482.6052506538,16259.293914011,32270.2029679616,16135.1014839808
2023-04-01,Rural,2628.9759760342,3928.96894486122,4064.00031288545,10515.9039041368,16256.0012515418,32235.9178055668,16117.9589027834
2023-05-01,Rural,2622.45951472883,3852.1717303317,4055.16711260737,10489.8380589153,16220.6684504295,32090.8121516603,16045.4060758302
2023-06-01,Rural,2632.95390189153,3834.65355117544,4059.28294069393,10531.8156075661,16237.1317627757,32133.7809675931,16066.8904837966
2023-07-01,Rural,2671.6021528136,3832.03272122293,4078.84895421311,10686.4086112544,16315.3958168525,32375.5290067963,16187.7645033981
2023-08-01,Rural,2680.01083713254,3860.24112781707,4101.42268825709,10720.0433485301,16405.6907530284,32535.2739908444,16267.6369954222
2023-09-01,Rural,2679.26243211043,3877.48343013622,4119.62731248611,10717.0497284417,16478.5092499444,32626.6945289485,16313.3472644742
2023-10-01,Rural,2663.02538452013,3951.90120694569,4135.10915813478,10652.1015380805,16540.4366325391,32701.6613464436,16350.8306732218
2023-11-01,Rural,2674.28524995955,4031.31925142772,4161.57709875297,10697.1409998382,16646.3083950119,32943.5070785917,16471.7535392958
2023-12-01,Rural,2699.39368949358,4041.52669440066,4190.9577792478,10797.5747579743,16763.8311169912,33183.0791978345,16591.5395989172
2024-01-01,Rural,2742.59696290388,4067.07978643765,4228.38015461945,10970.3878516155,16913.5206184778,33548.5376693575,16774.2688346788
2024-02-01,Rural,2722.85256365582,4113.66848730401,4232.3693418418,10891.4102546233,16929.4773673672,33531.2839147592,16765.6419573796
2024-03-01,Rural,2742.65068027907,4119.11705483686,4244.52686480518,10970.6027211163,16978.1074592207,33671.2185969325,16835.6092984663
2024-04-01,Rural,2772.05015092195,4068.90747048348,4253.10678335486,11088.2006036878,17012.4271334194,33778.0119679702,16889.0059839851
2024-05-01,Rural,2769.88086173819,3989.69633362928,4245.22338955829,11079.5234469528,16980.8935582332,33652.619005756,16826.309502878
2024-06-01,Rural,2810.40382241632,3999.5244459512,4261.27511909587,11241.6152896653,17045.1004763835,33900.5522226,16950.2761113
2024-07-01,Rural,2863.39245288542,4038.11271854147,4305.88436351098,11453.5698115417,17223.5374540439,34350.9809833334,17175.4904916667
2024-08-01,Rural,2820.60174523602,4048.28567690977,4306.20096567148,11282.4069809441,17224.8038626859,34183.2713465668,17091.6356732834
2024-09-01,Rural,2802.68816373949,4057.7689431853,4308.32220014686,11210.752654958,17233.2888005874,34126.9009186673,17063.4504593336
2024-10-01,Rural,2817.76553045826,4093.70190121842,4332.00404175261,11271.0621218331,17328.0161670104,34327.419199565,17163.7095997825
2024-11-01,Rural,2813.2949798741,4157.70532742713,4350.87353051868,11253.1799194964,17403.4941220747,34455.0983374481,17227.5491687241
2024-12-01,Rural,2812.93413591865,4170.36117732939,4367.49514394518,11251.7365436746,17469.9805757807,34536.6822116239,17268.341105812
2025-01-01,Rural,2827.24693054059,4190.05188657786,4379.96926906906,11308.9877221624,17519.8770762762,34669.8625192673,17334.9312596336
2025-02-01,Rural,2839.62228808012,4206.12171233932,4392.09513181638,11358.4891523205,17568.3805272655,34789.6409615216,17394.8204807608
2025-03-01,Rural,2866.72902285796,4217.19127042821,4405.86732579833,11466.9160914318,17623.4693031933,34972.9554983061,17486.477749153
2025-04-01,Rural,2897.72811148153,4192.8796241582,4420.3993649655,11590.9124459261,17681.597459862,35138.6590064436,17569.3295032218
2025-05-01,Rural,2957.28380831006,4155.80867417202,4432.81016965728,11829.1352332403,17731.2406786291,35401.9938153435,17700.9969076717
2025-06-01,Rural,2965.27120282529,4163.39528719245,4445.25263456511,11861.0848113012,17781.0105382604,35495.7651685918,17747.8825842959
2025-07-01,Rural,2967.62977835967,4173.36133793292,4457.12521558403,11870.5191134387,17828.5008623361,35566.0003793931,17783.0001896966
2025-08-01,Rural,2958.53703575761,4182.74115039454,4459.87965438042,11834.1481430304,17839.5186175217,35549.228306494,17774.614153247
2025-09-01,Rural,2964.2408245419,4188.29317174131,4470.32752567708,11856.9632981676,17881.3101027083,35622.8949012481,17811.4474506241
2025-10-01,Rural,2952.298568657,4233.95078828243,4486.50589607886,11809.194274628,17946.0235843154,35688.6270795872,17844.3135397936
2025-11-01,Rural,2970.20113829681,4292.22977012117,4516.17151851814,11880.8045531873,18064.6860740726,35949.6064172501,17974.803208625
2025-12-01,Rural,2976.48215963713,4299.26462946739,4528.74062429018,11905.9286385485,18114.9624971607,36036.1635534355,18018.0817767177
2026-01-01,Rural,2995.90417336994,4312.12738699748,4546.02710225373,11983.6166934798,18184.1084090149,36203.8451139668,18101.9225569834
2026-02-01,Rural,3021.19241789331,4321.67962248229,4568.79079759401,12084.7696715732,18275.163190376,36415.6931086532,18207.8465543266
2026-03-01,Rural,3090.88476892085,4344.78430758996,4607.95448484843,12363.5390756834,18431.8179393937,36897.1483888005,18448.5741944002
2026-04-01,Rural,3077.76818207285,4317.19662387931,4617.04096685492,12311.0727282914,18468.1638674197,36851.2548805699,18425.6274402849
2026-05-01,Rural,3047.33345180658,4285.74666444917,4607.41626117558,12189.3338072263,18429.6650447023,36649.9827921967,18324.9913960983
2018-08-01,Urbano,1974.13305119558,5144.97613670813,3689.42773640925,7896.53220478231,14757.710945637,29189.1802514838,14594.5901257419
2018-09-01,Urbano,1977.10976211951,5178.40274387769,3705.03103605473,7908.43904847806,14820.1241442189,29302.3142334034,14651.1571167017
2018-10-01,Urbano,1972.53297766717,5249.87714814809,3724.23227303023,7890.13191066868,14896.9290921209,29438.7850584846,14719.3925292423
2018-11-01,Urbano,2000.27112815582,5329.10488219206,3755.91614972212,8001.08451262328,15023.6645988885,29771.546693389,14885.7733466945
2018-12-01,Urbano,2039.41822074643,5336.60147919169,3782.23983406521,8157.67288298572,15128.9593362608,30054.3953833602,15027.1976916801
2019-01-01,Urbano,2043.75814899586,5341.73613467088,3785.47063493298,8175.03259598344,15141.8825397319,30091.5838339056,15045.7919169528
2019-02-01,Urbano,2021.74128293884,5354.47008025929,3784.40593919246,8086.96513175537,15137.6237567699,30008.0119172237,15004.0059586119
2019-03-01,Urbano,2028.17020718057,5371.36309678584,3798.98125674366,8112.68082872229,15195.9250269746,30113.9674001069,15056.9837000534
2019-04-01,Urbano,2038.43753907314,5310.51742935738,3801.00050728601,8153.75015629255,15204.0020291441,30101.6830955337,15050.8415477668
2019-05-01,Urbano,2049.23618635252,5220.60961191667,3790.05984071106,8196.94474541008,15160.2393628442,30006.6834061796,15003.3417030898
2019-06-01,Urbano,2067.08970871892,5203.45986261616,3792.48294136189,8268.35883487568,15169.9317654476,30073.8379860864,15036.9189930432
2019-07-01,Urbano,2088.0909240635,5199.14675201364,3806.72783609706,8352.363696254,15226.9113443882,30217.3428822887,15108.6714411443
2019-08-01,Urbano,2064.12355665384,5204.28140749283,3806.10370411124,8256.49422661535,15224.414816445,30119.4499730808,15059.7249865404
2019-09-01,Urbano,2059.0412775371,5216.50188753332,3816.08981588435,8236.1651101484,15264.3592635374,30152.8775742801,15076.43878714
2019-10-01,Urbano,2053.76746916065,5303.53429790567,3836.68617141639,8215.0698766426,15346.7446856656,30308.6163032245,15154.3081516123
2019-11-01,Urbano,2067.51481267161,5416.54806500275,3867.63577518378,8270.05925068642,15470.5431007351,30615.0079372455,15307.5039686228
2019-12-01,Urbano,2083.64325113511,5434.82743850869,3889.22339916389,8334.57300454043,15556.8935966555,30792.6087416899,15396.3043708449
2020-01-01,Urbano,2105.52516989494,5437.44611280308,3908.05749967714,8422.10067957976,15632.2299987086,30966.365630646,15483.182815323
2020-02-01,Urbano,2133.32469628079,5443.50500626853,3924.28493130844,8533.29878512316,15697.1397252338,31157.6406924567,15578.8203462284
2020-03-01,Urbano,2159.10833287027,5455.7768328638,3922.41253535099,8636.43333148109,15689.6501414039,31270.9533210363,15635.4766605181
2020-04-01,Urbano,2159.72786798541,5402.78718831851,3882.65165648967,8638.91147194163,15530.6066259587,31050.9205505298,15525.4602752649
2020-05-01,Urbano,2173.38408792731,5317.24382803512,3897.59411050311,8693.53635170923,15590.3764420124,31081.2144528446,15540.6072264223
2020-06-01,Urbano,2167.66439146117,5336.90955852044,3918.92473895964,8670.65756584467,15675.6989558386,31167.4293842139,15583.7146921069
2020-07-01,Urbano,2178.55652128267,5353.90526815657,3944.66100496314,8714.22608513067,15778.6440198525,31339.1141417968,15669.5570708984
2020-08-01,Urbano,2192.29256264215,5373.57099864189,3960.19087731617,8769.1702505686,15840.7635092647,31482.6799963989,15741.3399981995
2020-09-01,Urbano,2203.55962558923,5377.986802354,3969.25914793366,8814.23850235692,15877.0365917346,31572.7249912678,15786.3624956339
2020-10-01,Urbano,2209.47833693513,5464.96786617156,3993.49015444194,8837.91334774054,15973.9606177678,31790.6839232639,15895.3419616319
2020-11-01,Urbano,2206.36575513422,5574.79814687154,3996.50067343236,8825.46302053688,15986.0026937295,31905.5770541948,15952.7885270974
2020-12-01,Urbano,2210.25350738751,5594.46387735686,4011.7368366156,8841.01402955005,16046.9473464624,32006.5465160378,16003.2732580189
2021-01-01,Urbano,2235.75343652979,5653.92318780594,4046.21095042056,8943.01374611917,16184.8438016823,32320.8697723877,16160.4348861939
2021-02-01,Urbano,2255.99844654916,5687.24710186591,4071.80036183916,9023.99378619663,16287.2014473566,32548.3644521901,16274.1822260951
