nom_ent,cve_ent,ambito,rural,date,canasta_alimentos,vivienda_mensual,NANV,alimentos_familiar,nanv_familiar,ingreso_digno_familiar,salario_digno
Ciudad de México,9,Rural,1,2024-10-01,2664.1335232027,6552.80431970454,7182.72625848783,10656.5340928108,28730.9050339513,48237.25561879,24118.627809395
Ciudad de México,9,Rural,1,2024-11-01,2648.25536065439,6584.68154973993,7182.34968691089,10593.0214426175,28729.3987476436,48202.4568270011,24101.2284135005
Ciudad de México,9,Rural,1,2024-12-01,2655.70559694094,6607.76506114486,7214.41206689006,10622.8223877638,28857.6482675602,48392.6475022923,24196.3237511462
Ciudad de México,9,Rural,1,2025-01-01,2676.1394639715,6638.54307635144,7234.04758483032,10704.557855886,28936.1903393213,48593.2558351367,24296.6279175683
Ciudad de México,9,Rural,1,2025-02-01,2705.88634301949,6660.91209811764,7263.04359625444,10823.545372078,29052.1743850177,48863.463447974,24431.731723987
Ciudad de México,9,Rural,1,2025-03-01,2739.74746785654,6679.70867169023,7286.60621778275,10958.9898714262,29146.424871131,49124.3795849598,24562.1897924799
Ciudad de México,9,Rural,1,2025-04-01,2767.19405442916,6700.20902824747,7324.04819171816,11068.7762177166,29296.1927668726,49418.4369134786,24709.2184567393
Ciudad de México,9,Rural,1,2025-05-01,2817.13823580419,6719.8849736831,7375.26192618153,11268.5529432168,29501.0477047261,49863.9599027073,24931.9799513536
Ciudad de México,9,Rural,1,2025-06-01,2823.22343193149,6739.17619392865,7397.53344516035,11292.893727726,29590.1337806414,50003.3138874108,25001.6569437054
Ciudad de México,9,Rural,1,2025-07-01,2817.94876736902,6761.71009791918,7415.01712551812,11271.7950694761,29660.0685020725,50078.2523529411,25039.1261764706
Ciudad de México,9,Rural,1,2025-08-01,2806.82516012334,6779.57233888729,7413.99500266643,11227.3006404934,29655.9800106657,50045.9956395487,25022.9978197744
Ciudad de México,9,Rural,1,2025-09-01,2812.74669971009,6795.07126797345,7443.79795318398,11250.9867988404,29775.1918127359,50212.3123735272,25106.1561867636
Ciudad de México,9,Rural,1,2025-10-01,2797.78027927538,6817.27540751534,7451.4907725414,11191.1211171015,29805.9630901656,50205.0775955216,25102.5387977608
Ciudad de México,9,Rural,1,2025-11-01,2813.36907813857,6837.72080333114,7509.75177508744,11253.4763125543,30039.0071003498,50536.714427047,25268.3572135235
Ciudad de México,9,Rural,1,2025-12-01,2817.86814164962,6853.43957538307,7530.40941587939,11271.4725665985,30121.6376635176,50658.8772957741,25329.438647887
Ciudad de México,9,Rural,1,2026-01-01,2836.83196363667,6879.82073127442,7550.20632163834,11347.3278545467,30200.8252865534,50849.3725659932,25424.6862829966
Ciudad de México,9,Rural,1,2026-02-01,2851.71634419214,6899.8264411587,7586.84135648031,11406.8653767686,30347.3654259212,51086.7601060409,25543.3800530205
Ciudad de México,9,Rural,1,2026-03-01,2922.27083476273,6931.37390674544,7656.88366979051,11689.0833390509,30627.534679162,51710.3915212063,25855.1957606032
Ciudad de México,9,Rural,1,2026-04-01,2900.19541306831,6952.97347813148,7678.45584155502,11600.7816522732,30713.8233662201,51730.957421456,25865.478710728
Ciudad de México,9,Rural,1,2026-05-01,2858.7064621112,6989.41244970641,7675.01290142303,11434.8258484448,30700.0516056921,51580.5043990355,25790.2521995177
Ciudad de México,9,Rural,1,2026-06-01,2856.00339724686,7012.22115740414,7650.3205651639,11424.0135889874,30601.2822606556,51489.3928573995,25744.6964286998
Ciudad de México,9,Urbano,0,2018-08-01,2114.22499677668,7997.85240264506,3992.6270245695,8456.89998710671,15970.508098278,34046.5235124313,17023.2617562156
Ciudad de México,9,Urbano,0,2018-09-01,2114.33475339822,8056.31111269825,4005.01970288569,8457.33901359288,16020.0788115428,34160.4153847256,17080.2076923628
Ciudad de México,9,Urbano,0,2018-10-01,2109.15888880051,8073.83279691038,4017.96846292121,8436.63555520206,16071.8738516848,34211.4593139871,17105.7296569936
Ciudad de México,9,Urbano,0,2018-11-01,2144.21958398101,8044.36450982635,4039.05984813242,8576.87833592402,16156.2393925297,34416.3563501941,17208.178175097
Ciudad de México,9,Urbano,0,2018-12-01,2195.77476280865,8050.97496341547,4074.68879829149,8783.09905123461,16298.7551931659,34789.4706682068,17394.7353341034
Ciudad de México,9,Urbano,0,2019-01-01,2190.39927973638,8086.89441605033,4077.38976664245,8761.59711894553,16309.5590665698,34815.953131644,17407.976565822
