nom_ent,cve_ent,ambito,clave_enigh,nombre_enigh,codigo,serie_api,es_comida_fuera
Coahuila,5,Urbano,111111,Desayunos,25,896807,TRUE
Coahuila,5,Urbano,111112,Comidas,25,896807,TRUE
Coahuila,5,Urbano,111113,Cenas,25,896807,TRUE
Coahuila,5,Urbano,111124,Otros alimentos cocinados,269,896812,FALSE
Coahuila,5,Urbano,111126,Pollos rostizados,267,896811,FALSE
Coahuila,5,Urbano,181124,"Pierna, muslo o pechuga de pollo con hueso",022,896696,FALSE
Coahuila,5,Urbano,181125,"Pierna, muslo o pechuga de pollo sin hueso",022,896696,FALSE
Coahuila,5,Urbano,181126,"Chorizo de pollo, jamón de pollo, pavo y otras aves; nuggets de pollo y otras aves, salchicha, mortadela, tocino de pollo, pavo y otras aves, etcétera",019,896704,FALSE
Coahuila,5,Urbano,181134,Plátano verde y Tabasco,055,896751,FALSE
Colima,6,Urbano,011111,Arroz en grano,001,897122,FALSE
Colima,6,Urbano,011131,Tortillas de maíz,014,897108,FALSE
Colima,6,Urbano,011132,Tortillas de harina de trigo,015,897120,FALSE
Colima,6,Urbano,011133,Pan,008,897111,FALSE
Colima,6,Urbano,011134,Pan de caja,009,897112,FALSE
Colima,6,Urbano,011135,Galletas dulces,004,897117,FALSE
Colima,6,Urbano,011137,Pan dulce a granel,010,897113,FALSE
Colima,6,Urbano,011150,"Spaghetti, pastas italianas y pastas para sopa",011,897119,FALSE
Colima,6,Urbano,011192,Tostadas,016,897109,FALSE
Colima,6,Urbano,011221,Bistec de res,018,897131,FALSE
Colima,6,Urbano,011224,Molida de res,018,897131,FALSE
Colima,6,Urbano,01122F,"Pollo entero o en piezas (excepto pierna, muslo y pechuga)",022,897126,FALSE
Colima,6,Urbano,011231,Jamón de puerco,021,897136,FALSE
Colima,6,Urbano,011252,Chorizo de puerco,020,897135,FALSE
Colima,6,Urbano,011411,Leche entera fresca,034,897148,FALSE
Colima,6,Urbano,011433,Crema,030,897155,FALSE
Colima,6,Urbano,011451,Queso fresco,037,897157,FALSE
Colima,6,Urbano,011454,Queso Oaxaca o asadero,039,897159,FALSE
Colima,6,Urbano,011460,Yogurt y bebidas fermentadas a base de leche,041,897161,FALSE
Colima,6,Urbano,011481,Huevo de gallina,031,897165,FALSE
Colima,6,Urbano,011512,Otros aceites vegetales comestibles,042,897168,FALSE
Colima,6,Urbano,011592,Chicharrón,019,897134,FALSE
Colima,6,Urbano,011611,Aguacate,045,897171,FALSE
Colima,6,Urbano,011616,"Otros plátanos: Chiapas, dominico, guineo, manzano, dorado, portalimón y Roatán",055,897181,FALSE
Colima,6,Urbano,011621,Limón,048,897174,FALSE
Colima,6,Urbano,011633,Manzana y perón,049,897175,FALSE
Colima,6,Urbano,011712,Lechuga,071,897193,FALSE
Colima,6,Urbano,011721,Calabaza,060,897186,FALSE
Colima,6,Urbano,011722,Chayote,062,897188,FALSE
Colima,6,Urbano,011725,Chile serrano,065,897190,FALSE
Colima,6,Urbano,011727,Jitomate (tomate rojo),070,897192,FALSE
Colima,6,Urbano,011728,Pepino,075,897196,FALSE
Colima,6,Urbano,011729,Tomate verde,076,897197,FALSE
Colima,6,Urbano,011743,Cebolla,061,897187,FALSE
Colima,6,Urbano,011746,Nopal,072,897194,FALSE
Colima,6,Urbano,011748,Zanahoria,078,897198,FALSE
Colima,6,Urbano,011751,Papa,073,897195,FALSE
Colima,6,Urbano,011761,Frijol en grano,068,897204,FALSE
Colima,6,Urbano,011797,Frijol procesado,069,897209,FALSE
Colima,6,Urbano,011810,Azúcar,082,897216,FALSE
Colima,6,Urbano,011911,Alimentos preparados para consumo inmediato,269,897242,FALSE
Colima,6,Urbano,011942,Cilantro,087,897201,FALSE
Colima,6,Urbano,012100,Jugos de frutas o verduras envasados,095,897213,FALSE
Colima,6,Urbano,012201,Café soluble,096,897218,FALSE
Colima,6,Urbano,012501,Agua natural embotellada,099,897222,FALSE
Colima,6,Urbano,012601,Refrescos sabor cola,100,897223,FALSE
Colima,6,Urbano,012602,Refrescos de otros sabores,100,897223,FALSE
