clave,precio,nom_ent,cantidad,cantidad_se,cantidad_cv,cantidad_low,cantidad_upp,valor
011751,30,Michoacán,1,0.114675824703287,0.114675824703287,1,1.45,30
011751,25,Morelos,1,0.114675824703287,0.114675824703287,1,1.45,25
011751,25,México,1,0.114675824703287,0.114675824703287,1,1.45,25
011751,35.9691808596918,Nayarit,1,0.114675824703287,0.114675824703287,1,1.45,35.9691808596918
011751,35,Nuevo León,1,0.114675824703287,0.114675824703287,1,1.45,35
011751,30,Oaxaca,1,0.114675824703287,0.114675824703287,1,1.45,30
011751,22,Puebla,1,0.114675824703287,0.114675824703287,1,1.45,22
011751,30,Querétaro,1,0.114675824703287,0.114675824703287,1,1.45,30
011751,36.9565217391304,Quintana Roo,1,0.114675824703287,0.114675824703287,1,1.45,36.9565217391304
011751,30,San Luis Potosí,1,0.114675824703287,0.114675824703287,1,1.45,30
011751,37.5,Sinaloa,1,0.114675824703287,0.114675824703287,1,1.45,37.5
011751,29,Sonora,1,0.114675824703287,0.114675824703287,1,1.45,29
011751,32,Tabasco,1,0.114675824703287,0.114675824703287,1,1.45,32
011751,33.3333333333333,Tamaulipas,1,0.114675824703287,0.114675824703287,1,1.45,33.3333333333333
011751,20,Tlaxcala,1,0.114675824703287,0.114675824703287,1,1.45,20
011751,28,Veracruz,1,0.114675824703287,0.114675824703287,1,1.45,28
011751,36.231884057971,Yucatán,1,0.114675824703287,0.114675824703287,1,1.45,36.231884057971
011751,30,Zacatecas,1,0.114675824703287,0.114675824703287,1,1.45,30
011761,38,Aguascalientes,1,0.127412117076647,0.127412117076647,1,1.5,38
011761,37,Baja California,1,0.127412117076647,0.127412117076647,1,1.5,37
011761,40,Baja California Sur,1,0.127412117076647,0.127412117076647,1,1.5,40
011761,38,Campeche,1,0.127412117076647,0.127412117076647,1,1.5,38
011761,40,Chiapas,1,0.127412117076647,0.127412117076647,1,1.5,40
011761,35,Chihuahua,1,0.127412117076647,0.127412117076647,1,1.5,35
011761,40,Ciudad de México,1,0.127412117076647,0.127412117076647,1,1.5,40
011761,35,Coahuila,1,0.127412117076647,0.127412117076647,1,1.5,35
011761,40,Colima,1,0.127412117076647,0.127412117076647,1,1.5,40
011761,35,Durango,1,0.127412117076647,0.127412117076647,1,1.5,35
011761,40,Guanajuato,1,0.127412117076647,0.127412117076647,1,1.5,40
011761,40,Guerrero,1,0.127412117076647,0.127412117076647,1,1.5,40
011761,40,Hidalgo,1,0.127412117076647,0.127412117076647,1,1.5,40
011761,40,Jalisco,1,0.127412117076647,0.127412117076647,1,1.5,40
011761,40,Michoacán,1,0.127412117076647,0.127412117076647,1,1.5,40
011761,41.025641025641,Morelos,1,0.127412117076647,0.127412117076647,1,1.5,41.025641025641
