ambito,clave_enigh,nombre_enigh,codigo_ccif,objeto_gasto_generico,objeto_gasto_ruta,serie_api_nacional,revisar,nota_match
Rural,011454,Queso Oaxaca o asadero,039,039 Queso Oaxaca y asadero,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.4. Leche, derivados de leche y huevo, 13 Derivados de leche, 039 Queso Oaxaca y asadero",865658,no,""
Rural,011460,Yogurt y bebidas fermentadas a base de leche,041,041 Yogurt,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.4. Leche, derivados de leche y huevo, 13 Derivados de leche, 041 Yogurt",865660,no,""
Rural,011481,Huevo de gallina,031,031 Huevo,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.4. Leche, derivados de leche y huevo, 14 Huevo, 031 Huevo",865664,no,""
Rural,011512,Otros aceites vegetales comestibles,042,042 Aceites y grasas vegetales comestibles,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.5. Aceites y grasas comestibles, 15 Aceites y grasas vegetales comestibles, 042 Aceites y grasas vegetales comestibles",865667,no,""
Rural,011592,Chicharrón,019,"019 Carnes secas, procesadas y otros embutidos","1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.2. Carnes, 08 Carnes frías, secas y embutidos, 019 Carnes secas, procesadas y otros embutidos",865633,no,"Chicharrón → 019 Carnes secas, procesadas y otros embutidos"
Rural,011611,Aguacate,045,045 Aguacate,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 16 Frutas frescas, 045 Aguacate",865670,no,""
Rural,011616,"Otros plátanos: Chiapas, dominico, guineo, manzano, dorado, portalimón y Roatán",055,055 Plátanos,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 16 Frutas frescas, 055 Plátanos",865680,no,""
Rural,011621,Limón,048,048 Limón,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 16 Frutas frescas, 048 Limón",865673,no,""
Rural,011633,Manzana y perón,049,049 Manzana,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 16 Frutas frescas, 049 Manzana",865674,no,""
Rural,011712,Lechuga,071,071 Lechuga y col,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 17 Hortalizas frescas, 071 Lechuga y col",865695,no,""
Rural,011721,Calabaza,060,060 Calabacita,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 17 Hortalizas frescas, 060 Calabacita",865688,no,""
Rural,011722,Chayote,062,062 Chayote,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 17 Hortalizas frescas, 062 Chayote",865690,no,""
Rural,011723,Chile jalapeño,081,081 Otros chiles frescos,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 17 Hortalizas frescas, 081 Otros chiles frescos",865702,no,Chile jalapeño ≈ 081 Otros chiles frescos
Rural,011725,Chile serrano,065,065 Chile serrano,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 17 Hortalizas frescas, 065 Chile serrano",865692,no,""
Rural,011727,Jitomate (tomate rojo),070,070 Jitomate,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 17 Hortalizas frescas, 070 Jitomate",865694,no,""
Rural,011728,Pepino,075,075 Pepino,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 17 Hortalizas frescas, 075 Pepino",865698,no,""
Rural,011729,Tomate verde,076,076 Tomate verde,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 17 Hortalizas frescas, 076 Tomate verde",865699,no,""
Rural,011743,Cebolla,061,061 Cebolla,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 17 Hortalizas frescas, 061 Cebolla",865689,no,""
Rural,011748,Zanahoria,078,078 Zanahoria,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 17 Hortalizas frescas, 078 Zanahoria",865700,no,""
Rural,011751,Papa,073,073 Papa y otros tubérculos,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 17 Hortalizas frescas, 073 Papa y otros tubérculos",865697,no,""
Rural,011761,Frijol en grano,068,068 Frijol,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 18 Legumbres secas, 068 Frijol",865706,no,""
Rural,011796,Papas fritas en bolsa o a granel,074,074 Papas fritas,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.8. Otros alimentos, 24 Chocolates y golosinas, 074 Papas fritas",865733,no,""
Rural,011810,Azúcar,082,082 Azúcar,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.7. Azúcar, café y refrescos envasados, 20 Azúcar, 082 Azúcar",865718,no,""
Rural,011911,Alimentos preparados para consumo inmediato,269,269 Otros alimentos cocinados,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.8. Otros alimentos, 25 Alimentos cocinados fuera de casa, 269 Otros alimentos cocinados",865744,no,Alimentos preparados para consumo inmediato ≈ 269 Otros alimentos cocinados
Rural,011942,Cilantro,087,"087 Cilantro, epazote y perejil","1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 17 Hortalizas frescas, 087 Cilantro, epazote y perejil",865703,no,""
Rural,012100,Jugos de frutas o verduras envasados,095,095 Jugos o néctares envasados,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 19 Frutas y legumbres procesadas, 095 Jugos o néctares envasados",865715,no,""
Rural,012201,Café soluble,096,096 Café soluble,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.7. Azúcar, café y refrescos envasados, 21 Café, 096 Café soluble",865720,no,""
Rural,012501,Agua natural embotellada,099,099 Agua embotellada,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.7. Azúcar, café y refrescos envasados, 22 Refrescos envasados y agua embotellada, 099 Agua embotellada",865724,no,""
Rural,012601,Refrescos sabor cola,100,100 Refrescos envasados,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.7. Azúcar, café y refrescos envasados, 22 Refrescos envasados y agua embotellada, 100 Refrescos envasados",865725,no,""
Rural,012602,Refrescos de otros sabores,100,100 Refrescos envasados,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.7. Azúcar, café y refrescos envasados, 22 Refrescos envasados y agua embotellada, 100 Refrescos envasados",865725,no,""
Rural,111111,Desayunos,11.1,,,,sí,"Desayunos (fuera de hogar) → grupo 11.1 Servicios de alimentos y bebidas (nivel grupo, engloba varios servicios) | sin código de grupo equivalente en objeto del gasto; candidato más cercano: grupo 25 'Alimentos cocinados fuera de casa' (genéricos 263/264/266/267/269), sin desglose desayuno/comida/cena."
Rural,111112,Comidas,11.1,,,,sí,"Comidas (fuera de hogar) → grupo 11.1 Servicios de alimentos y bebidas (nivel grupo, engloba varios servicios) | sin código de grupo equivalente en objeto del gasto; candidato más cercano: grupo 25 'Alimentos cocinados fuera de casa' (genéricos 263/264/266/267/269), sin desglose desayuno/comida/cena."
Rural,111113,Cenas,11.1,,,,sí,"Cenas (fuera de hogar) → grupo 11.1 Servicios de alimentos y bebidas (nivel grupo, engloba varios servicios) | sin código de grupo equivalente en objeto del gasto; candidato más cercano: grupo 25 'Alimentos cocinados fuera de casa' (genéricos 263/264/266/267/269), sin desglose desayuno/comida/cena."
Rural,111124,Otros alimentos cocinados,269,269 Otros alimentos cocinados,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.8. Otros alimentos, 25 Alimentos cocinados fuera de casa, 269 Otros alimentos cocinados",865744,no,""
Rural,111126,Pollos rostizados,267,267 Pollos rostizados,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.8. Otros alimentos, 25 Alimentos cocinados fuera de casa, 267 Pollos rostizados",865743,no,""
Rural,181124,"Pierna, muslo o pechuga de pollo con hueso",022,022 Pollo,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.2. Carnes, 05 Carne de ave, 022 Pollo",865614,no,""
Rural,181125,"Pierna, muslo o pechuga de pollo sin hueso",022,022 Pollo,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.2. Carnes, 05 Carne de ave, 022 Pollo",865614,no,""
Rural,181126,"Chorizo de pollo, jamón de pollo, pavo y otras aves; nuggets de pollo y otras aves, salchicha, mortadela, tocino de pollo, pavo y otras aves, etcétera",019,"019 Carnes secas, procesadas y otros embutidos","1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.2. Carnes, 08 Carnes frías, secas y embutidos, 019 Carnes secas, procesadas y otros embutidos",865633,no,"Embutidos de aves mixtos → 019 Carnes secas, procesadas y otros embutidos (genérico paraguas de procesados)"
Rural,181134,Plátano verde y Tabasco,055,055 Plátanos,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 16 Frutas frescas, 055 Plátanos",865680,no,Plátano verde/Tabasco (de cocción) ≈ 055 Plátanos
