codigo,nombre,ruta_ccif,serie_api
158,Estufas,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.3 Electrodomésticos, 05.3.1 Grandes electrodomésticos, eléctricos o no, 158 Estufas",908921
159,Horno de microondas,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.3 Electrodomésticos, 05.3.1 Grandes electrodomésticos, eléctricos o no, 159 Horno de microondas",908922
160,Lavadoras de ropa,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.3 Electrodomésticos, 05.3.1 Grandes electrodomésticos, eléctricos o no, 160 Lavadoras de ropa",908923
161,Refrigeradores,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.3 Electrodomésticos, 05.3.1 Grandes electrodomésticos, eléctricos o no, 161 Refrigeradores",908924
162,"Cafeteras, tostadoras, ventiladores y otros electrodomésticos pequeños","05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.3 Electrodomésticos, 05.3.2 Electrodomésticos pequeños, 162 Cafeteras, tostadoras, ventiladores y otros electrodomésticos pequeños",908926
163,Licuadoras,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.3 Electrodomésticos, 05.3.2 Electrodomésticos pequeños, 163 Licuadoras",908927
164,Planchas eléctricas,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.3 Electrodomésticos, 05.3.2 Electrodomésticos pequeños, 164 Planchas eléctricas",908928
165,Artículos y utensilios para el hogar,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.4 Cristalería, vajillas y utensilios para el hogar, 05.4.0 Cristalería, vajillas y utensilios para el hogar, 165 Artículos y utensilios para el hogar",908931
166,Baterías de cocina,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.4 Cristalería, vajillas y utensilios para el hogar, 05.4.0 Cristalería, vajillas y utensilios para el hogar, 166 Baterías de cocina",908932
167,"Loza, cristalería y cubiertos","05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.4 Cristalería, vajillas y utensilios para el hogar, 05.4.0 Cristalería, vajillas y utensilios para el hogar, 167 Loza, cristalería y cubiertos",908933
168,Utensilios de plástico para el hogar,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.4 Cristalería, vajillas y utensilios para el hogar, 05.4.0 Cristalería, vajillas y utensilios para el hogar, 168 Utensilios de plástico para el hogar",908934
169,Focos,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.5 Herramienta y equipo para casa y jardín, 05.5.2 Herramientas no motorizadas y accesorios diversos, 169 Focos",908937
170,Herramientas y equipo para el hogar,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.5 Herramienta y equipo para casa y jardín, 05.5.2 Herramientas no motorizadas y accesorios diversos, 170 Herramientas y equipo para el hogar",908938
171,Pilas,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.5 Herramienta y equipo para casa y jardín, 05.5.2 Herramientas no motorizadas y accesorios diversos, 171 Pilas",908939
172,Artículos desechables y no duraderos,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.6 Bienes y servicios para el mantenimiento rutinario del hogar, 05.6.1 Artículos domésticos no duraderos, 172 Artículos desechables y no duraderos",908942
173,Blanqueadores,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.6 Bienes y servicios para el mantenimiento rutinario del hogar, 05.6.1 Artículos domésticos no duraderos, 173 Blanqueadores",908943
174,Cerillos,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.6 Bienes y servicios para el mantenimiento rutinario del hogar, 05.6.1 Artículos domésticos no duraderos, 174 Cerillos",908944
175,Desodorantes ambientales,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.6 Bienes y servicios para el mantenimiento rutinario del hogar, 05.6.1 Artículos domésticos no duraderos, 175 Desodorantes ambientales",908945
176,Detergentes,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.6 Bienes y servicios para el mantenimiento rutinario del hogar, 05.6.1 Artículos domésticos no duraderos, 176 Detergentes",908946
177,"Escobas, fibras y estropajos","05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.6 Bienes y servicios para el mantenimiento rutinario del hogar, 05.6.1 Artículos domésticos no duraderos, 177 Escobas, fibras y estropajos",908947
178,Jabón para lavar,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.6 Bienes y servicios para el mantenimiento rutinario del hogar, 05.6.1 Artículos domésticos no duraderos, 178 Jabón para lavar",908948
179,Plaguicidas,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.6 Bienes y servicios para el mantenimiento rutinario del hogar, 05.6.1 Artículos domésticos no duraderos, 179 Plaguicidas",908949
180,Servilletas de papel,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.6 Bienes y servicios para el mantenimiento rutinario del hogar, 05.6.1 Artículos domésticos no duraderos, 180 Servilletas de papel",908950
181,Suavizantes y limpiadores,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.6 Bienes y servicios para el mantenimiento rutinario del hogar, 05.6.1 Artículos domésticos no duraderos, 181 Suavizantes y limpiadores",908951
182,Velas y veladoras,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.6 Bienes y servicios para el mantenimiento rutinario del hogar, 05.6.1 Artículos domésticos no duraderos, 182 Velas y veladoras",908952
183,Servicio doméstico,"05 Mobiliario, equipo doméstico y mantenimiento rutinario del hogar, 05.6 Bienes y servicios para el mantenimiento rutinario del hogar, 05.6.2 Servicios domésticos y para el hogar, 183 Servicio doméstico",908954
184,Analgésicos,"06 Salud, 06.1 Medicamentos y productos sanitarios, 06.1.1 Medicamentos, 184 Analgésicos",908958
185,Antibióticos,"06 Salud, 06.1 Medicamentos y productos sanitarios, 06.1.1 Medicamentos, 185 Antibióticos",908959
186,Antigripales,"06 Salud, 06.1 Medicamentos y productos sanitarios, 06.1.1 Medicamentos, 186 Antigripales",908960
187,Antiinflamatorios,"06 Salud, 06.1 Medicamentos y productos sanitarios, 06.1.1 Medicamentos, 187 Antiinflamatorios",908961
188,Cardiovasculares,"06 Salud, 06.1 Medicamentos y productos sanitarios, 06.1.1 Medicamentos, 188 Cardiovasculares",908962
189,Dermatológicos,"06 Salud, 06.1 Medicamentos y productos sanitarios, 06.1.1 Medicamentos, 189 Dermatológicos",908963
190,Expectorantes y descongestivos,"06 Salud, 06.1 Medicamentos y productos sanitarios, 06.1.1 Medicamentos, 190 Expectorantes y descongestivos",908964
191,Gastrointestinales,"06 Salud, 06.1 Medicamentos y productos sanitarios, 06.1.1 Medicamentos, 191 Gastrointestinales",908965
192,Medicamentos para alergias,"06 Salud, 06.1 Medicamentos y productos sanitarios, 06.1.1 Medicamentos, 192 Medicamentos para alergias",908966
193,Medicamentos para diabetes,"06 Salud, 06.1 Medicamentos y productos sanitarios, 06.1.1 Medicamentos, 193 Medicamentos para diabetes",908967
194,Medicinas homeopáticas y naturistas,"06 Salud, 06.1 Medicamentos y productos sanitarios, 06.1.1 Medicamentos, 194 Medicinas homeopáticas y naturistas",908968
195,Nutricionales,"06 Salud, 06.1 Medicamentos y productos sanitarios, 06.1.1 Medicamentos, 195 Nutricionales",908969
196,Otros medicamentos,"06 Salud, 06.1 Medicamentos y productos sanitarios, 06.1.1 Medicamentos, 196 Otros medicamentos",908970
197,Material de curación,"06 Salud, 06.1 Medicamentos y productos sanitarios, 06.1.2 Productos médicos, 197 Material de curación",908972
198,"Lentes, aparatos para sordera y ortopédicos","06 Salud, 06.1 Medicamentos y productos sanitarios, 06.1.3 Productos de apoyo, 198 Lentes, aparatos para sordera y ortopédicos",908974
199,Consulta médica,"06 Salud, 06.2 Servicios de atención para pacientes ambulatorios, 06.2.1 Servicios de atención preventiva, 199 Consulta médica",908977
200,Consulta y prótesis dental,"06 Salud, 06.2 Servicios de atención para pacientes ambulatorios, 06.2.2 Servicios dentales para pacientes ambulatorios, 200 Consulta y prótesis dental",908979
201,Atención médica durante el parto,"06 Salud, 06.3 Servicios de atención para pacientes hospitalizados, 06.3.1 Servicios curativos y de rehabilitación para pacientes hospitalizados, 201 Atención médica durante el parto",908982
202,Hospitalización general,"06 Salud, 06.3 Servicios de atención para pacientes hospitalizados, 06.3.1 Servicios curativos y de rehabilitación para pacientes hospitalizados, 202 Hospitalización general",908983
203,Hospitalización parto,"06 Salud, 06.3 Servicios de atención para pacientes hospitalizados, 06.3.1 Servicios curativos y de rehabilitación para pacientes hospitalizados, 203 Hospitalización parto",908984
204,Operación quirúrgica,"06 Salud, 06.3 Servicios de atención para pacientes hospitalizados, 06.3.1 Servicios curativos y de rehabilitación para pacientes hospitalizados, 204 Operación quirúrgica",908985
205,Análisis clínicos,"06 Salud, 06.4 Otros servicios de salud, 06.4.1 Servicios de diagnóstico por imágenes y servicios de laboratorio médico, 205 Análisis clínicos",908988
206,Automóviles,"07 Transporte, 07.1 Compra de vehículos, 07.1.1 Automóviles, 206 Automóviles",908992
207,Motocicletas,"07 Transporte, 07.1 Compra de vehículos, 07.1.2 Motocicletas, 207 Motocicletas",908994
208,Bicicletas,"07 Transporte, 07.1 Compra de vehículos, 07.1.3 Bicicletas, 208 Bicicletas",908996
209,Acumuladores,"07 Transporte, 07.2 Funcionamiento del equipo de transporte personal, 07.2.1 Partes y accesorios para equipo de transporte personal, 209 Acumuladores",908999
210,Neumáticos,"07 Transporte, 07.2 Funcionamiento del equipo de transporte personal, 07.2.1 Partes y accesorios para equipo de transporte personal, 210 Neumáticos",909000
211,"Partes, accesorios y otras refacciones para vehículos","07 Transporte, 07.2 Funcionamiento del equipo de transporte personal, 07.2.1 Partes y accesorios para equipo de transporte personal, 211 Partes, accesorios y otras refacciones para vehículos",909001
212,Aceites lubricantes,"07 Transporte, 07.2 Funcionamiento del equipo de transporte personal, 07.2.2 Combustibles y lubricantes para equipo de transporte personal, 212 Aceites lubricantes",909003
213,Gasolina de alto octanaje,"07 Transporte, 07.2 Funcionamiento del equipo de transporte personal, 07.2.2 Combustibles y lubricantes para equipo de transporte personal, 213 Gasolina de alto octanaje",909004
214,Gasolina de bajo octanaje,"07 Transporte, 07.2 Funcionamiento del equipo de transporte personal, 07.2.2 Combustibles y lubricantes para equipo de transporte personal, 214 Gasolina de bajo octanaje",909005
215,Lavado y engrasado de automóvil,"07 Transporte, 07.2 Funcionamiento del equipo de transporte personal, 07.2.3 Mantenimiento y reparación de equipo de transporte personal, 215 Lavado y engrasado de automóvil",909007
216,Mantenimiento de automóvil,"07 Transporte, 07.2 Funcionamiento del equipo de transporte personal, 07.2.3 Mantenimiento y reparación de equipo de transporte personal, 216 Mantenimiento de automóvil",909008
217,Reparación de automóvil,"07 Transporte, 07.2 Funcionamiento del equipo de transporte personal, 07.2.3 Mantenimiento y reparación de equipo de transporte personal, 217 Reparación de automóvil",909009
218,Cuotas de autopistas,"07 Transporte, 07.2 Funcionamiento del equipo de transporte personal, 07.2.4 Otros servicios relacionados con equipos de transporte personal, 218 Cuotas de autopistas",909011
219,Estacionamiento,"07 Transporte, 07.2 Funcionamiento del equipo de transporte personal, 07.2.4 Otros servicios relacionados con equipos de transporte personal, 219 Estacionamiento",909012
220,Trámites vehiculares,"07 Transporte, 07.2 Funcionamiento del equipo de transporte personal, 07.2.4 Otros servicios relacionados con equipos de transporte personal, 220 Trámites vehiculares",909013
221,Metro o transporte eléctrico,"07 Transporte, 07.3 Servicios de transporte de pasajeros, 07.3.1 Transporte de pasajeros por ferrocarril, 221 Metro o transporte eléctrico",909016
222,Autobús foráneo,"07 Transporte, 07.3 Servicios de transporte de pasajeros, 07.3.2 Transporte de pasajeros por carretera, 222 Autobús foráneo",909018
223,Autobús urbano,"07 Transporte, 07.3 Servicios de transporte de pasajeros, 07.3.2 Transporte de pasajeros por carretera, 223 Autobús urbano",909019
224,Colectivo,"07 Transporte, 07.3 Servicios de transporte de pasajeros, 07.3.2 Transporte de pasajeros por carretera, 224 Colectivo",909020
225,Taxi,"07 Transporte, 07.3 Servicios de transporte de pasajeros, 07.3.2 Transporte de pasajeros por carretera, 225 Taxi",909021
226,Transporte escolar,"07 Transporte, 07.3 Servicios de transporte de pasajeros, 07.3.2 Transporte de pasajeros por carretera, 226 Transporte escolar",909022
227,Transporte aéreo,"07 Transporte, 07.3 Servicios de transporte de pasajeros, 07.3.3 Transporte de pasajeros por vía aérea, 227 Transporte aéreo",909024
228,Equipo terminal de comunicación,"08 Información y comunicación, 08.1 Equipo de información y comunicación, 08.1.2 Equipo de telefonía móvil, 228 Equipo terminal de comunicación",909028
229,Computadoras,"08 Información y comunicación, 08.1 Equipo de información y comunicación, 08.1.3 Equipo de procesamiento de información, 229 Computadoras",909030
230,"Reproductores de audio y video, y sus accesorios","08 Información y comunicación, 08.1 Equipo de información y comunicación, 08.1.4 Equipo para la recepción, grabación y reproducción de sonido y video, 230 Reproductores de audio y video, y sus accesorios",909032
231,Televisores,"08 Información y comunicación, 08.1 Equipo de información y comunicación, 08.1.4 Equipo para la recepción, grabación y reproducción de sonido y video, 231 Televisores",909033
232,Servicios de telefonía fija,"08 Información y comunicación, 08.3 Servicios de información y comunicaciones, 08.3.1 Servicios de comunicaciones fijas, 232 Servicios de telefonía fija",909036
233,Servicio de telefonía móvil,"08 Información y comunicación, 08.3 Servicios de información y comunicaciones, 08.3.2 Servicios de comunicaciones móviles, 233 Servicio de telefonía móvil",909038
234,Servicio de internet,"08 Información y comunicación, 08.3 Servicios de información y comunicaciones, 08.3.3 Servicios de provisión de acceso a Internet y servicios de almacenamiento en red, 234 Servicio de internet",909040
235,"Paquetes de internet, telefonía y televisión de paga","08 Información y comunicación, 08.3 Servicios de información y comunicaciones, 08.3.4 Servicios de telecomunicaciones agrupados, 235 Paquetes de internet, telefonía y televisión de paga",909042
236,Servicio de televisión de paga,"08 Información y comunicación, 08.3 Servicios de información y comunicaciones, 08.3.9 Otros servicios de información y comunicación, 236 Servicio de televisión de paga",909044
237,Streaming de películas y música,"08 Información y comunicación, 08.3 Servicios de información y comunicaciones, 08.3.9 Otros servicios de información y comunicación, 237 Streaming de películas y música",909045
238,Material y aparatos fotográficos,"09 Recreación, deporte y cultura, 09.1 Bienes recreativos duraderos, 09.1.1 Equipos e instrumentos ópticos fotográficos y cinematográficos, 238 Material y aparatos fotográficos",909049
239,"Consolas, discos y descargas de videojuegos","09 Recreación, deporte y cultura, 09.2 Otros bienes recreativos, 09.2.1 Juguetes, juegos y pasatiempos, 239 Consolas, discos y descargas de videojuegos",909052
240,Juguetes y juegos de mesa,"09 Recreación, deporte y cultura, 09.2 Otros bienes recreativos, 09.2.1 Juguetes, juegos y pasatiempos, 240 Juguetes y juegos de mesa",909053
241,Artículos deportivos,"09 Recreación, deporte y cultura, 09.2 Otros bienes recreativos, 09.2.2 Equipo para deportes, campismo y recreación al aire libre, 241 Artículos deportivos",909055
242,Plantas y flores,"09 Recreación, deporte y cultura, 09.3 Productos de jardín y mascotas, 09.3.1 Productos de jardinería, plantas y flores, 242 Plantas y flores",909058
243,Alimento para mascotas,"09 Recreación, deporte y cultura, 09.3 Productos de jardín y mascotas, 09.3.2 Mascotas y productos relacionados, 243 Alimento para mascotas",909060
244,Servicios para mascotas,"09 Recreación, deporte y cultura, 09.4 Servicios recreativos, 09.4.5 Veterinarios y otros servicios para mascotas, 244 Servicios para mascotas",909063
245,Club deportivo,"09 Recreación, deporte y cultura, 09.4 Servicios recreativos, 09.4.6 Servicios recreativos y deportivos, 245 Club deportivo",909065
246,Servicios recreativos y centros nocturnos,"09 Recreación, deporte y cultura, 09.4 Servicios recreativos, 09.4.6 Servicios recreativos y deportivos, 246 Servicios recreativos y centros nocturnos",909066
247,"Instrumentos musicales, y descargas de audio y video","09 Recreación, deporte y cultura, 09.5 Bienes culturales, 09.5.1 Instrumentos musicales, 247 Instrumentos musicales, y descargas de audio y video",909069
248,Cine,"09 Recreación, deporte y cultura, 09.6 Servicios culturales, 09.6.1 Cines, teatros y conciertos, 248 Cine",909072
249,Museos y sitios culturales,"09 Recreación, deporte y cultura, 09.6 Servicios culturales, 09.6.2 Museos, bibliotecas y sitios culturales, 249 Museos y sitios culturales",909074
250,Paquetes para fiesta,"09 Recreación, deporte y cultura, 09.6 Servicios culturales, 09.6.9 Otros servicios culturales, 250 Paquetes para fiesta",909076
251,Libros de texto,"09 Recreación, deporte y cultura, 09.7 Periódicos, libros y artículos de papelería, 09.7.1 Libros, 251 Libros de texto",909079
252,Otros libros,"09 Recreación, deporte y cultura, 09.7 Periódicos, libros y artículos de papelería, 09.7.1 Libros, 252 Otros libros",909080
253,Periódicos y revistas,"09 Recreación, deporte y cultura, 09.7 Periódicos, libros y artículos de papelería, 09.7.2 Periódicos y publicaciones periódicas, 253 Periódicos y revistas",909082
254,Material escolar,"09 Recreación, deporte y cultura, 09.7 Periódicos, libros y artículos de papelería, 09.7.4 Material de papelería y dibujo, 254 Material escolar",909084
255,Servicios turísticos en paquete,"09 Recreación, deporte y cultura, 09.8 Paquetes de vacaciones, 09.8.0 Paquetes de vacaciones, 255 Servicios turísticos en paquete",909087
256,Preescolar,"10 Servicios educativos, 10.1 Educación preescolar y primaria, 10.1.0 Educación preescolar y primaria, 256 Preescolar",909091
257,Primaria,"10 Servicios educativos, 10.1 Educación preescolar y primaria, 10.1.0 Educación preescolar y primaria, 257 Primaria",909092
258,Secundaria,"10 Servicios educativos, 10.2 Educación secundaria, 10.2.0 Educación secundaria, 258 Secundaria",909095
259,Preparatoria,"10 Servicios educativos, 10.3 Educación postsecundaria no terciaria, 10.3.0 Educación postsecundaria no terciaria, 259 Preparatoria",909098
260,Universidad,"10 Servicios educativos, 10.4 Educación terciaria (universitaria), 10.4.0 Educación terciaria (universitaria), 260 Universidad",909101
261,Carrera corta,"10 Servicios educativos, 10.5 Educación no definida por nivel, 10.5.0 Educación no definida por nivel, 261 Carrera corta",909104
262,Enseñanza adicional,"10 Servicios educativos, 10.5 Educación no definida por nivel, 10.5.0 Educación no definida por nivel, 262 Enseñanza adicional",909105
263,Barbacoa o birria,"11 Restaurantes y servicios de alojamiento, 11.1 Servicios de alimentos y bebidas, 11.1.1 Restaurantes, cafés y similares, 263 Barbacoa o birria",909109
264,Carnitas,"11 Restaurantes y servicios de alojamiento, 11.1 Servicios de alimentos y bebidas, 11.1.1 Restaurantes, cafés y similares, 264 Carnitas",909110
265,"Loncherías, fondas, torterías y taquerías","11 Restaurantes y servicios de alojamiento, 11.1 Servicios de alimentos y bebidas, 11.1.1 Restaurantes, cafés y similares, 265 Loncherías, fondas, torterías y taquerías",909111
266,Pizzas,"11 Restaurantes y servicios de alojamiento, 11.1 Servicios de alimentos y bebidas, 11.1.1 Restaurantes, cafés y similares, 266 Pizzas",909112
267,Pollos rostizados,"11 Restaurantes y servicios de alojamiento, 11.1 Servicios de alimentos y bebidas, 11.1.1 Restaurantes, cafés y similares, 267 Pollos rostizados",909113
268,Restaurantes y similares,"11 Restaurantes y servicios de alojamiento, 11.1 Servicios de alimentos y bebidas, 11.1.1 Restaurantes, cafés y similares, 268 Restaurantes y similares",909114
269,Otros alimentos cocinados,"11 Restaurantes y servicios de alojamiento, 11.1 Servicios de alimentos y bebidas, 11.1.1 Restaurantes, cafés y similares, 269 Otros alimentos cocinados",909115
270,Hoteles,"11 Restaurantes y servicios de alojamiento, 11.2 Servicios de alojamiento, 11.2.0 Servicios de alojamiento, 270 Hoteles",909118
271,Seguro de automóvil,"12 Seguros y servicios financieros, 12.1 Seguros, 12.1.4 Seguros relacionado con el transporte, 271 Seguro de automóvil",909122
272,Aparatos eléctricos para el cuidado personal,"13 Cuidado personal, protección social y bienes diversos, 13.1 Cuidado personal, 13.1.1 Aparatos eléctricos para el cuidado personal, 272 Aparatos eléctricos para el cuidado personal",909126
273,Artículos de maquillaje,"13 Cuidado personal, protección social y bienes diversos, 13.1 Cuidado personal, 13.1.2 Otros aparatos, artículos y productos para el cuidado personal, 273 Artículos de maquillaje",909128
274,Crema y productos para higiene dental,"13 Cuidado personal, protección social y bienes diversos, 13.1 Cuidado personal, 13.1.2 Otros aparatos, artículos y productos para el cuidado personal, 274 Crema y productos para higiene dental",909129
275,Cremas para la piel,"13 Cuidado personal, protección social y bienes diversos, 13.1 Cuidado personal, 13.1.2 Otros aparatos, artículos y productos para el cuidado personal, 275 Cremas para la piel",909130
276,Desodorantes personales,"13 Cuidado personal, protección social y bienes diversos, 13.1 Cuidado personal, 13.1.2 Otros aparatos, artículos y productos para el cuidado personal, 276 Desodorantes personales",909131
277,Jabón de tocador,"13 Cuidado personal, protección social y bienes diversos, 13.1 Cuidado personal, 13.1.2 Otros aparatos, artículos y productos para el cuidado personal, 277 Jabón de tocador",909132
278,Lociones y perfumes,"13 Cuidado personal, protección social y bienes diversos, 13.1 Cuidado personal, 13.1.2 Otros aparatos, artículos y productos para el cuidado personal, 278 Lociones y perfumes",909133
279,Navajas y máquinas de afeitar,"13 Cuidado personal, protección social y bienes diversos, 13.1 Cuidado personal, 13.1.2 Otros aparatos, artículos y productos para el cuidado personal, 279 Navajas y máquinas de afeitar",909134
280,Pañales,"13 Cuidado personal, protección social y bienes diversos, 13.1 Cuidado personal, 13.1.2 Otros aparatos, artículos y productos para el cuidado personal, 280 Pañales",909135
281,Papel higiénico y pañuelos desechables,"13 Cuidado personal, protección social y bienes diversos, 13.1 Cuidado personal, 13.1.2 Otros aparatos, artículos y productos para el cuidado personal, 281 Papel higiénico y pañuelos desechables",909136
282,Productos para el cabello,"13 Cuidado personal, protección social y bienes diversos, 13.1 Cuidado personal, 13.1.2 Otros aparatos, artículos y productos para el cuidado personal, 282 Productos para el cabello",909137
283,Toallas sanitarias,"13 Cuidado personal, protección social y bienes diversos, 13.1 Cuidado personal, 13.1.2 Otros aparatos, artículos y productos para el cuidado personal, 283 Toallas sanitarias",909138
284,Otros artículos de tocador,"13 Cuidado personal, protección social y bienes diversos, 13.1 Cuidado personal, 13.1.2 Otros aparatos, artículos y productos para el cuidado personal, 284 Otros artículos de tocador",909139
285,Corte de cabello,"13 Cuidado personal, protección social y bienes diversos, 13.1 Cuidado personal, 13.1.3 Salones de peluquería y establecimientos de aseo personal, 285 Corte de cabello",909141
286,Sala de belleza y masajes,"13 Cuidado personal, protección social y bienes diversos, 13.1 Cuidado personal, 13.1.3 Salones de peluquería y establecimientos de aseo personal, 286 Sala de belleza y masajes",909142
287,"Relojes, joyas y bisutería","13 Cuidado personal, protección social y bienes diversos, 13.2 Efectos personales, 13.2.1 Joyas y relojes, 287 Relojes, joyas y bisutería",909145
288,Bolsas y mochilas,"13 Cuidado personal, protección social y bienes diversos, 13.2 Efectos personales, 13.2.9 Otros efectos personales, 288 Bolsas y mochilas",909147
289,Guarderías y estancias infantiles,"13 Cuidado personal, protección social y bienes diversos, 13.3 Protección social, 13.3.0 Protección social, 289 Guarderías y estancias infantiles",909150
290,Expedición de documentos del sector público,"13 Cuidado personal, protección social y bienes diversos, 13.9 Otros servicios, 13.9.0 Otros servicios, 290 Expedición de documentos del sector público",909153
291,Servicios funerarios,"13 Cuidado personal, protección social y bienes diversos, 13.9 Otros servicios, 13.9.0 Otros servicios, 291 Servicios funerarios",909154
292,Servicios profesionales,"13 Cuidado personal, protección social y bienes diversos, 13.9 Otros servicios, 13.9.0 Otros servicios, 292 Servicios profesionales",909155
