codigo,nombre,ruta_ccif,serie_api
114,Camisas y playeras para hombre,"03 Ropa y calzado, 03.1 Ropa, 03.1.2 Prendas de vestir, 114 Camisas y playeras para hombre",908852
115,Camisas y playeras para niños,"03 Ropa y calzado, 03.1 Ropa, 03.1.2 Prendas de vestir, 115 Camisas y playeras para niños",908853
116,Pantalones para hombre,"03 Ropa y calzado, 03.1 Ropa, 03.1.2 Prendas de vestir, 116 Pantalones para hombre",908854
117,Pantalones para mujer,"03 Ropa y calzado, 03.1 Ropa, 03.1.2 Prendas de vestir, 117 Pantalones para mujer",908855
118,Pantalones para niño,"03 Ropa y calzado, 03.1 Ropa, 03.1.2 Prendas de vestir, 118 Pantalones para niño",908856
119,Ropa de abrigo,"03 Ropa y calzado, 03.1 Ropa, 03.1.2 Prendas de vestir, 119 Ropa de abrigo",908857
120,Ropa interior para hombre,"03 Ropa y calzado, 03.1 Ropa, 03.1.2 Prendas de vestir, 120 Ropa interior para hombre",908858
121,Ropa interior para mujer,"03 Ropa y calzado, 03.1 Ropa, 03.1.2 Prendas de vestir, 121 Ropa interior para mujer",908859
122,"Ropa interior para niños, niñas y adolescentes","03 Ropa y calzado, 03.1 Ropa, 03.1.2 Prendas de vestir, 122 Ropa interior para niños, niñas y adolescentes",908860
123,Ropa para bebés,"03 Ropa y calzado, 03.1 Ropa, 03.1.2 Prendas de vestir, 123 Ropa para bebés",908861
124,Traje para hombre,"03 Ropa y calzado, 03.1 Ropa, 03.1.2 Prendas de vestir, 124 Traje para hombre",908862
125,Uniformes escolares,"03 Ropa y calzado, 03.1 Ropa, 03.1.2 Prendas de vestir, 125 Uniformes escolares",908863
126,Vestidos y faldas para mujer,"03 Ropa y calzado, 03.1 Ropa, 03.1.2 Prendas de vestir, 126 Vestidos y faldas para mujer",908864
127,"Vestidos, faldas y pantalones para niñas","03 Ropa y calzado, 03.1 Ropa, 03.1.2 Prendas de vestir, 127 Vestidos, faldas y pantalones para niñas",908865
128,Otras prendas de vestir para hombre,"03 Ropa y calzado, 03.1 Ropa, 03.1.2 Prendas de vestir, 128 Otras prendas de vestir para hombre",908866
129,Otras prendas de vestir para mujer,"03 Ropa y calzado, 03.1 Ropa, 03.1.2 Prendas de vestir, 129 Otras prendas de vestir para mujer",908867
130,Complementos de vestir,"03 Ropa y calzado, 03.1 Ropa, 03.1.3 Otras prendas y complementos de vestir, 130 Complementos de vestir",908869
131,Servicio de lavandería,"03 Ropa y calzado, 03.1 Ropa, 03.1.4 Limpieza, reparación, confección y alquiler de ropa, 131 Servicio de lavandería",908871
132,Servicio de tintorería,"03 Ropa y calzado, 03.1 Ropa, 03.1.4 Limpieza, reparación, confección y alquiler de ropa, 132 Servicio de tintorería",908872
