ambito,clave_enigh,nombre_enigh,codigo_ccif,objeto_gasto_generico,objeto_gasto_ruta,serie_api_nacional,revisar,nota_match
Urbano,012501,Agua natural embotellada,099,099 Agua embotellada,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.7. Azúcar, café y refrescos envasados, 22 Refrescos envasados y agua embotellada, 099 Agua embotellada",865724,no,""
Urbano,012601,Refrescos sabor cola,100,100 Refrescos envasados,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.7. Azúcar, café y refrescos envasados, 22 Refrescos envasados y agua embotellada, 100 Refrescos envasados",865725,no,""
Urbano,012602,Refrescos de otros sabores,100,100 Refrescos envasados,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.7. Azúcar, café y refrescos envasados, 22 Refrescos envasados y agua embotellada, 100 Refrescos envasados",865725,no,""
Urbano,111111,Desayunos,11.1,,,,sí,"Desayunos (fuera de hogar) → grupo 11.1 Servicios de alimentos y bebidas (nivel grupo, engloba varios servicios) | sin código de grupo equivalente en objeto del gasto; candidato más cercano: grupo 25 'Alimentos cocinados fuera de casa' (genéricos 263/264/266/267/269), sin desglose desayuno/comida/cena."
Urbano,111112,Comidas,11.1,,,,sí,"Comidas (fuera de hogar) → grupo 11.1 Servicios de alimentos y bebidas (nivel grupo, engloba varios servicios) | sin código de grupo equivalente en objeto del gasto; candidato más cercano: grupo 25 'Alimentos cocinados fuera de casa' (genéricos 263/264/266/267/269), sin desglose desayuno/comida/cena."
Urbano,111113,Cenas,11.1,,,,sí,"Cenas (fuera de hogar) → grupo 11.1 Servicios de alimentos y bebidas (nivel grupo, engloba varios servicios) | sin código de grupo equivalente en objeto del gasto; candidato más cercano: grupo 25 'Alimentos cocinados fuera de casa' (genéricos 263/264/266/267/269), sin desglose desayuno/comida/cena."
Urbano,111124,Otros alimentos cocinados,269,269 Otros alimentos cocinados,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.8. Otros alimentos, 25 Alimentos cocinados fuera de casa, 269 Otros alimentos cocinados",865744,no,""
Urbano,111126,Pollos rostizados,267,267 Pollos rostizados,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.8. Otros alimentos, 25 Alimentos cocinados fuera de casa, 267 Pollos rostizados",865743,no,""
Urbano,181124,"Pierna, muslo o pechuga de pollo con hueso",022,022 Pollo,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.2. Carnes, 05 Carne de ave, 022 Pollo",865614,no,""
Urbano,181125,"Pierna, muslo o pechuga de pollo sin hueso",022,022 Pollo,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.2. Carnes, 05 Carne de ave, 022 Pollo",865614,no,""
Urbano,181126,"Chorizo de pollo, jamón de pollo, pavo y otras aves; nuggets de pollo y otras aves, salchicha, mortadela, tocino de pollo, pavo y otras aves, etcétera",019,"019 Carnes secas, procesadas y otros embutidos","1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.2. Carnes, 08 Carnes frías, secas y embutidos, 019 Carnes secas, procesadas y otros embutidos",865633,no,"Embutidos de aves mixtos → 019 Carnes secas, procesadas y otros embutidos (genérico paraguas de procesados)"
Urbano,181134,Plátano verde y Tabasco,055,055 Plátanos,"1. Alimentos, bebidas y tabaco, 1.1. Alimentos, 1.1.6. Frutas y hortalizas, 16 Frutas frescas, 055 Plátanos",865680,no,Plátano verde/Tabasco (de cocción) ≈ 055 Plátanos
