clave,precio,nom_ent,cantidad,cantidad_se,cantidad_cv,cantidad_low,cantidad_upp,valor
011411,26,México,1,0.204016093481842,0.204016093481842,1,1.8,26
011411,23,Nayarit,1,0.204016093481842,0.204016093481842,1,1.8,23
011411,27,Nuevo León,1,0.204016093481842,0.204016093481842,1,1.8,27
011411,23,Oaxaca,1,0.204016093481842,0.204016093481842,1,1.8,23
011411,23,Puebla,1,0.204016093481842,0.204016093481842,1,1.8,23
011411,27,Querétaro,1,0.204016093481842,0.204016093481842,1,1.8,27
011411,27,Quintana Roo,1,0.204016093481842,0.204016093481842,1,1.8,27
011411,26,San Luis Potosí,1,0.204016093481842,0.204016093481842,1,1.8,26
011411,26,Sinaloa,1,0.204016093481842,0.204016093481842,1,1.8,26
011411,25,Sonora,1,0.204016093481842,0.204016093481842,1,1.8,25
011411,23,Tabasco,1,0.204016093481842,0.204016093481842,1,1.8,23
011411,25,Tamaulipas,1,0.204016093481842,0.204016093481842,1,1.8,25
011411,24,Tlaxcala,1,0.204016093481842,0.204016093481842,1,1.8,24
011411,22.5,Veracruz,1,0.204016093481842,0.204016093481842,1,1.8,22.5
011411,25.5,Yucatán,1,0.204016093481842,0.204016093481842,1,1.8,25.5
011411,24.4444444444444,Zacatecas,1,0.204016093481842,0.204016093481842,1,1.8,24.4444444444444
011433,72,Aguascalientes,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,18.72
011433,90,Baja California,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,23.4
011433,80,Baja California Sur,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,20.8
011433,64,Campeche,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,16.64
011433,70,Chiapas,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,18.2
011433,89.5,Chihuahua,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,23.27
011433,80,Ciudad de México,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,20.8
011433,88.7777777777778,Coahuila,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,23.0822222222222
011433,80,Colima,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,20.8
011433,91.1111111111111,Durango,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,23.6888888888889
011433,72,Guanajuato,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,18.72
011433,90,Guerrero,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,23.4
011433,80,Hidalgo,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,20.8
011433,72,Jalisco,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,18.72
011433,76,Michoacán,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,19.76
011433,76,Morelos,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,19.76
011433,80,México,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,20.8
011433,84,Nayarit,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,21.84
011433,86.5555555555556,Nuevo León,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,22.5044444444444
011433,80,Oaxaca,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,20.8
011433,80,Puebla,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,20.8
011433,82,Querétaro,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,21.32
011433,68.421052631579,Quintana Roo,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,17.7894736842105
011433,84,San Luis Potosí,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,21.84
011433,72,Sinaloa,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,18.72
011433,64,Sonora,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,16.64
011433,60,Tabasco,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,15.6
011433,92.1052631578947,Tamaulipas,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,23.9473684210526
011433,80,Tlaxcala,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,20.8
011433,64,Veracruz,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,16.64
011433,62,Yucatán,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,16.12
011433,80,Zacatecas,0.26,0.0382351735932048,0.147058359973865,0.25,0.4,20.8
011451,120,Aguascalientes,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,30
011451,120,Baja California,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,30
011451,130,Baja California Sur,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,32.5
011451,130,Campeche,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,32.5
011451,120,Chiapas,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,30
011451,140,Chihuahua,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,35
011451,135,Ciudad de México,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,33.75
011451,136,Coahuila,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,34
011451,120,Colima,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,30
011451,125.130890052356,Durango,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,31.282722513089
011451,120,Guanajuato,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,30
011451,130,Guerrero,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,32.5
011451,120,Hidalgo,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,30
011451,120,Jalisco,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,30
011451,120,Michoacán,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,30
011451,128,Morelos,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,32
011451,120,México,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,30
011451,125,Nayarit,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,31.25
011451,138.095238095238,Nuevo León,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,34.5238095238095
011451,116,Oaxaca,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,29
011451,100,Puebla,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,25
011451,130,Querétaro,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,32.5
011451,140,Quintana Roo,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,35
011451,107.5,San Luis Potosí,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,26.875
011451,100,Sinaloa,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,25
011451,100,Sonora,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,25
011451,130,Tabasco,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,32.5
011451,100,Tamaulipas,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,25
011451,112,Tlaxcala,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,28
011451,100,Veracruz,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,25
011451,153.846153846154,Yucatán,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,38.4615384615385
011451,112.5,Zacatecas,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3,28.125
011454,120,Aguascalientes,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,36
011454,150,Baja California,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,45
011454,150,Baja California Sur,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,45
011454,140,Campeche,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,42
011454,116,Chiapas,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,34.8
011454,133.333333333333,Chihuahua,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,40
011454,140,Ciudad de México,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,42
011454,145,Coahuila,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,43.5
011454,130,Colima,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,39
011454,160,Durango,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,48
011454,120,Guanajuato,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,36
011454,125,Guerrero,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,37.5
011454,120,Hidalgo,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,36
011454,131.578947368421,Jalisco,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,39.4736842105263
011454,125,Michoacán,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,37.5
011454,140,Morelos,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,42
011454,128,México,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,38.4
011454,150,Nayarit,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,45
011454,146.341463414634,Nuevo León,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,43.9024390243902
011454,120,Oaxaca,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,36
011454,120,Puebla,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,36
011454,130,Querétaro,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,39
011454,144.927536231884,Quintana Roo,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,43.4782608695652
011454,130,San Luis Potosí,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,39
011454,166.666666666667,Sinaloa,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,50
011454,124.074074074074,Sonora,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,37.2222222222222
011454,125,Tabasco,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,37.5
011454,150,Tamaulipas,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,45
011454,120,Tlaxcala,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,36
011454,120,Veracruz,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,36
011454,185.185185185185,Yucatán,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,55.5555555555556
011454,135,Zacatecas,0.3,0.0382189413401698,0.127396471133899,0.25,0.4,40.5
011460,59.0909090909091,Aguascalientes,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,52
011460,49.4444444444445,Baja California,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,43.5111111111111
011460,50,Baja California Sur,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,44
011460,55,Campeche,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,48.4
011460,52.2727272727273,Chiapas,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,46
011460,52,Chihuahua,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,45.76
011460,60,Ciudad de México,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,52.8
011460,49.5454545454546,Coahuila,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,43.6
011460,53.7974683544304,Colima,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,47.3417721518987
011460,60,Durango,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,52.8
011460,54.5454545454546,Guanajuato,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,48
011460,63.6363636363636,Guerrero,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,56
011460,49.4444444444445,Hidalgo,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,43.5111111111111
011460,55.0847457627119,Jalisco,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,48.4745762711864
011460,60,Michoacán,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,52.8
011460,56,Morelos,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,49.28
011460,58.3333333333333,México,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,51.3333333333333
011460,68.1818181818182,Nayarit,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,60
011460,54.5454545454545,Nuevo León,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,48
011460,66.6666666666667,Oaxaca,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,58.6666666666667
011460,59.0909090909091,Puebla,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,52
011460,54,Querétaro,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,47.52
011460,54.5454545454546,Quintana Roo,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,48
011460,60,San Luis Potosí,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,52.8
011460,54.5454545454546,Sinaloa,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,48
011460,49.5867768595041,Sonora,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,43.6363636363636
011460,58.1395348837209,Tabasco,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,51.1627906976744
011460,54.9545454545455,Tamaulipas,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,48.36
011460,54.5454545454546,Tlaxcala,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,48
011460,54.5454545454545,Veracruz,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,48
011460,59.0909090909091,Yucatán,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,52
011460,59.0909090909091,Zacatecas,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92,52
011481,50,Aguascalientes,1,0.0765094914986549,0.0765094914986549,1,1.3,50
011481,55.5555555555556,Baja California,1,0.0765094914986549,0.0765094914986549,1,1.3,55.5555555555556
011481,56.6666666666667,Baja California Sur,1,0.0765094914986549,0.0765094914986549,1,1.3,56.6666666666667
011481,51.7241379310345,Campeche,1,0.0765094914986549,0.0765094914986549,1,1.3,51.7241379310345
011481,52.9100529100529,Chiapas,1,0.0765094914986549,0.0765094914986549,1,1.3,52.9100529100529
011481,50,Chihuahua,1,0.0765094914986549,0.0765094914986549,1,1.3,50
011481,48,Ciudad de México,1,0.0765094914986549,0.0765094914986549,1,1.3,48
011481,50,Coahuila,1,0.0765094914986549,0.0765094914986549,1,1.3,50
011481,46,Colima,1,0.0765094914986549,0.0765094914986549,1,1.3,46
011481,46,Durango,1,0.0765094914986549,0.0765094914986549,1,1.3,46
011481,48,Guanajuato,1,0.0765094914986549,0.0765094914986549,1,1.3,48
011481,52.9100529100529,Guerrero,1,0.0765094914986549,0.0765094914986549,1,1.3,52.9100529100529
011481,50,Hidalgo,1,0.0765094914986549,0.0765094914986549,1,1.3,50
011481,46,Jalisco,1,0.0765094914986549,0.0765094914986549,1,1.3,46
011481,45.5,Michoacán,1,0.0765094914986549,0.0765094914986549,1,1.3,45.5
011481,50,Morelos,1,0.0765094914986549,0.0765094914986549,1,1.3,50
011481,48,México,1,0.0765094914986549,0.0765094914986549,1,1.3,48
011481,44,Nayarit,1,0.0765094914986549,0.0765094914986549,1,1.3,44
011481,52.0833333333333,Nuevo León,1,0.0765094914986549,0.0765094914986549,1,1.3,52.0833333333333
011481,53.7634408602151,Oaxaca,1,0.0765094914986549,0.0765094914986549,1,1.3,53.7634408602151
011481,46,Puebla,1,0.0765094914986549,0.0765094914986549,1,1.3,46
011481,48,Querétaro,1,0.0765094914986549,0.0765094914986549,1,1.3,48
011481,56.6037735849057,Quintana Roo,1,0.0765094914986549,0.0765094914986549,1,1.3,56.6037735849057
011481,50,San Luis Potosí,1,0.0765094914986549,0.0765094914986549,1,1.3,50
011481,58.3333333333333,Sinaloa,1,0.0765094914986549,0.0765094914986549,1,1.3,58.3333333333333
011481,55.5555555555556,Sonora,1,0.0765094914986549,0.0765094914986549,1,1.3,55.5555555555556
011481,50,Tabasco,1,0.0765094914986549,0.0765094914986549,1,1.3,50
011481,52.9352941176471,Tamaulipas,1,0.0765094914986549,0.0765094914986549,1,1.3,52.9352941176471
011481,45,Tlaxcala,1,0.0765094914986549,0.0765094914986549,1,1.3,45
011481,50,Veracruz,1,0.0765094914986549,0.0765094914986549,1,1.3,50
011481,52,Yucatán,1,0.0765094914986549,0.0765094914986549,1,1.3,52
011481,45.7894736842105,Zacatecas,1,0.0765094914986549,0.0765094914986549,1,1.3,45.7894736842105
011512,45,Aguascalientes,1,0.203893750690276,0.203893750690276,1,1.8,45
011512,42,Baja California,1,0.203893750690276,0.203893750690276,1,1.8,42
011512,39,Baja California Sur,1,0.203893750690276,0.203893750690276,1,1.8,39
011512,45,Campeche,1,0.203893750690276,0.203893750690276,1,1.8,45
011512,46,Chiapas,1,0.203893750690276,0.203893750690276,1,1.8,46
011512,40,Chihuahua,1,0.203893750690276,0.203893750690276,1,1.8,40
011512,45,Ciudad de México,1,0.203893750690276,0.203893750690276,1,1.8,45
011512,39,Coahuila,1,0.203893750690276,0.203893750690276,1,1.8,39
011512,46,Colima,1,0.203893750690276,0.203893750690276,1,1.8,46
011512,40,Durango,1,0.203893750690276,0.203893750690276,1,1.8,40
011512,45,Guanajuato,1,0.203893750690276,0.203893750690276,1,1.8,45
011512,45,Guerrero,1,0.203893750690276,0.203893750690276,1,1.8,45
011512,42.6233333333333,Hidalgo,1,0.203893750690276,0.203893750690276,1,1.8,42.6233333333333
011512,46,Jalisco,1,0.203893750690276,0.203893750690276,1,1.8,46
011512,48,Michoacán,1,0.203893750690276,0.203893750690276,1,1.8,48
011512,40,Morelos,1,0.203893750690276,0.203893750690276,1,1.8,40
011512,42,México,1,0.203893750690276,0.203893750690276,1,1.8,42
011512,49,Nayarit,1,0.203893750690276,0.203893750690276,1,1.8,49
011512,40,Nuevo León,1,0.203893750690276,0.203893750690276,1,1.8,40
011512,48,Oaxaca,1,0.203893750690276,0.203893750690276,1,1.8,48
