nom_ent,cve_ent,ambito,rural,canasta_alimentos,vivienda_mensual,NANV,alimentos_familiar,nanv_familiar,ingreso_digno_familiar,salario_digno
San Luis Potosí,24,Rural,1,2910.58211134762,3752.06684019403,4311.66252382639,11642.3284453905,17246.6500953056,34273.0976499346,17136.5488249673
San Luis Potosí,24,Urbano,0,3195.66498986817,5437.14796100661,4431.21226787886,12782.6599594727,17724.8490715154,37741.8898415945,18870.9449207972
Sinaloa,25,Rural,1,3041.28772848318,4964.50029812473,5002.84209259869,12165.1509139327,20011.3683703948,38998.0705615748,19499.0352807874
Sinaloa,25,Urbano,0,3517.69798838157,7194.09430136103,5699.21502508813,14070.7919535263,22796.8601003525,46264.8336730018,23132.4168365009
Sonora,26,Rural,1,2694.21536084495,5311.11090091673,4047.09825704728,10776.8614433798,16188.3930281891,33890.1836411099,16945.091820555
Sonora,26,Urbano,0,3272.51993721911,7696.37030349546,5674.55273871541,13090.0797488764,22698.2109548616,45658.8940575952,22829.4470287976
Tabasco,27,Rural,1,2957.7309006168,4053.51720875983,5238.65063860679,11830.9236024672,20954.6025544272,38680.9955339369,19340.4977669685
Tabasco,27,Urbano,0,3131.30945756684,5873.9819318821,6770.42740305577,12525.2378302674,27081.7096122231,47754.9758430912,23877.4879215456
Tamaulipas,28,Rural,1,2993.42872037599,3628.36927772927,3693.44501536979,11973.714881504,14773.7800614792,31894.657431748,15947.328715874
Tamaulipas,28,Urbano,0,3292.61388729697,5257.89690334103,4483.44580522284,13170.4555491879,17933.7832208914,38180.2424570913,19090.1212285456
Tlaxcala,29,Rural,1,2617.90280594959,2461.09381100948,3012.27872026373,10471.6112237984,12049.1148810549,26230.9109116559,13115.4554558279
Tlaxcala,29,Urbano,0,2715.98194341004,3566.38934387538,3799.29894289374,10863.9277736402,15197.195771575,31108.888533545,15554.4442667725
Veracruz,30,Rural,1,2748.02032364446,3537.40226422995,4221.96660452682,10992.0812945778,16887.8664181073,32988.2174757608,16494.1087378804
Veracruz,30,Urbano,0,2859.14341260016,5126.07592758754,4455.83940984827,11436.5736504006,17823.3576393931,36105.3075782503,18052.6537891252
Yucatán,31,Rural,1,2900.88902270012,4313.50889344045,7379.87598612606,11603.5560908005,29519.5039445042,47708.3973751824,23854.1986875912
Yucatán,31,Urbano,0,3079.10555600286,6250.73781562505,6173.02594560579,12316.4222240114,24692.1037824232,45422.2270131626,22711.1135065813
Zacatecas,32,Rural,1,2886.31511216461,2798.72145752769,2832.65335622138,11545.2604486584,11330.6134248855,26958.3250976252,13479.1625488126
Zacatecas,32,Urbano,0,3060.72156569102,4055.64807727018,4118.86612557928,12242.8862627641,16475.4645023171,34412.698784469,17206.3493922345
